"sample_id","Shannon","Simpson","Richness","Evenness","medium","treatment","stirred","time","replicate","condition"
"repBC01_Pl1",3.13524385400338,0.921652860930963,90,0.696750325836174,"Schaedler","Quercetin","Static","0","R1","Schaedler_Quercetin_Static_0"
"repBC01_Pl2",3.39560778454788,0.935356122262242,126,0.702111218882252,"GAM","DMSOControl","Static","0","R1","GAM_DMSOControl_Static_0"
"repBC01_Pl3",3.02231546552971,0.91766030986587,76,0.697876139686284,"mBHI","FecesOnly","Static","0","R1","mBHI_FecesOnly_Static_0"
"repBC02_Pl1",3.30005691230824,0.931480537610481,111,0.700718919137341,"Schaedler","Quercetin","Static","0","R2","Schaedler_Quercetin_Static_0"
"repBC02_Pl2",3.17002739427943,0.923831966557933,73,0.738854996245095,"GAM","DMSOControl","Static","0","R2","GAM_DMSOControl_Static_0"
"repBC02_Pl3",3.03965338873677,0.920391790560366,80,0.693663832320132,"mBHI","FecesOnly","Static","0","R2","mBHI_FecesOnly_Static_0"
"repBC03_Pl1",3.04039093850491,0.910414077590468,77,0.699937184849188,"Schaedler","Quercetin","Static","0","R3","Schaedler_Quercetin_Static_0"
"repBC03_Pl2",3.16203523073299,0.922106662660122,89,0.704453417535733,"GAM","DMSOControl","Static","0","R3","GAM_DMSOControl_Static_0"
"repBC03_Pl3",2.96144878753536,0.913201636643775,55,0.739007377387204,"mBHI","FecesOnly","Static","0","R3","mBHI_FecesOnly_Static_0"
"repBC04_Pl1",3.08407128702535,0.921111724134589,89,0.687084235163695,"Schaedler","CGA","Static","0","R1","Schaedler_CGA_Static_0"
"repBC04_Pl2",3.18255261455356,0.921949815827838,103,0.686675018676599,"GAM","WaterControl","Static","0","R1","GAM_WaterControl_Static_0"
"repBC04_Pl3",2.99640033937374,0.917744808313657,72,0.700639296121421,"mBHI","Quercetin","Stirred","0","R1","mBHI_Quercetin_Stirred_0"
"repBC05_Pl1",3.05168609741826,0.918222830833552,79,0.698414582450105,"Schaedler","CGA","Static","0","R2","Schaedler_CGA_Static_0"
"repBC05_Pl2",3.24048206873537,0.924679562138487,117,0.680462770386607,"GAM","WaterControl","Static","0","R2","GAM_WaterControl_Static_0"
"repBC05_Pl3",3.02159462413616,0.917447340349829,75,0.699850131529667,"mBHI","Quercetin","Stirred","0","R2","mBHI_Quercetin_Stirred_0"
"repBC06_Pl1",3.06805533681234,0.918961870872871,83,0.694312288929152,"Schaedler","CGA","Static","0","R3","Schaedler_CGA_Static_0"
"repBC06_Pl2",3.09011966300357,0.912323839406109,95,0.678568994410716,"GAM","WaterControl","Static","0","R3","GAM_WaterControl_Static_0"
"repBC06_Pl3",2.99842489259218,0.918786169907518,65,0.718291020628555,"mBHI","Quercetin","Stirred","0","R3","mBHI_Quercetin_Stirred_0"
"repBC07_Pl1",3.08598552255441,0.916811295294637,95,0.677661165642488,"Schaedler","DMSOControl","Static","0","R1","Schaedler_DMSOControl_Static_0"
"repBC07_Pl2",3.10455860295237,0.913816611247349,95,0.68173968617347,"GAM","FecesOnly","Static","0","R1","GAM_FecesOnly_Static_0"
"repBC07_Pl3",2.93856766571789,0.914106864248055,88,0.656320439466503,"mBHI","CGA","Stirred","0","R1","mBHI_CGA_Stirred_0"
"repBC08_Pl1",3.09062034589994,0.918332979401875,88,0.690280958069964,"Schaedler","DMSOControl","Static","0","R2","Schaedler_DMSOControl_Static_0"
"repBC08_Pl2",3.0978095632537,0.913861130275648,96,0.678697030398437,"GAM","FecesOnly","Static","0","R2","GAM_FecesOnly_Static_0"
"repBC08_Pl3",2.92643395864227,0.912599308273625,73,0.682079390047555,"mBHI","CGA","Stirred","0","R2","mBHI_CGA_Stirred_0"
"repBC09_Pl1",3.11802444721528,0.920625439346816,85,0.70183866956924,"Schaedler","DMSOControl","Static","0","R3","Schaedler_DMSOControl_Static_0"
"repBC09_Pl2",3.14767163320678,0.91977024324837,78,0.722488410041051,"GAM","FecesOnly","Static","0","R3","GAM_FecesOnly_Static_0"
"repBC09_Pl3",2.93992218531869,0.915362128453449,59,0.721004337976759,"mBHI","CGA","Stirred","0","R3","mBHI_CGA_Stirred_0"
"repBC10_Pl1",3.03978685344688,0.914584778543548,89,0.67721833605075,"Schaedler","WaterControl","Static","0","R1","Schaedler_WaterControl_Static_0"
"repBC10_Pl2",3.22404041522904,0.924632477907841,107,0.689954742500278,"GAM","Quercetin","Stirred","0","R1","GAM_Quercetin_Stirred_0"
"repBC10_Pl3",2.97019871299841,0.915958285526987,70,0.69911781555054,"mBHI","DMSOControl","Stirred","0","R1","mBHI_DMSOControl_Stirred_0"
"repBC11_Pl1",3.00700257855331,0.911664103747636,80,0.686212757074466,"Schaedler","WaterControl","Static","0","R2","Schaedler_WaterControl_Static_0"
"repBC11_Pl2",3.1701508879932,0.922597679835952,89,0.706261462695044,"GAM","Quercetin","Stirred","0","R2","GAM_Quercetin_Stirred_0"
"repBC11_Pl3",2.97576411093597,0.910159988492101,69,0.702808044083204,"mBHI","DMSOControl","Stirred","0","R2","mBHI_DMSOControl_Stirred_0"
"repBC12_Pl1",3.03214380322817,0.918156745896571,71,0.711323367152017,"Schaedler","WaterControl","Static","0","R3","Schaedler_WaterControl_Static_0"
"repBC12_Pl2",3.27798090210371,0.930752833936294,101,0.710269838055554,"GAM","Quercetin","Stirred","0","R3","GAM_Quercetin_Stirred_0"
"repBC12_Pl3",2.98856919272994,0.914315544395945,66,0.713321115162929,"mBHI","DMSOControl","Stirred","0","R3","mBHI_DMSOControl_Stirred_0"
"repBC13_Pl1",2.92836338968071,0.91071599050314,66,0.698951004316967,"Schaedler","FecesOnly","Static","0","R1","Schaedler_FecesOnly_Static_0"
"repBC13_Pl2",3.12776215072355,0.917602366040929,85,0.704030537205497,"GAM","CGA","Stirred","0","R1","GAM_CGA_Stirred_0"
"repBC13_Pl3",2.91427545254315,0.913605344596768,62,0.706125650549009,"mBHI","WaterControl","Stirred","0","R1","mBHI_WaterControl_Stirred_0"
"repBC14_Pl1",2.98696767908716,0.912032324622753,77,0.68763846190249,"Schaedler","FecesOnly","Static","0","R2","Schaedler_FecesOnly_Static_0"
"repBC14_Pl2",3.11502221947934,0.914068638371967,96,0.682468139766872,"GAM","CGA","Stirred","0","R2","GAM_CGA_Stirred_0"
"repBC14_Pl3",2.9653558324123,0.91538457520222,73,0.691151116351909,"mBHI","WaterControl","Stirred","0","R2","mBHI_WaterControl_Stirred_0"
"repBC15_Pl1",3.0147435519684,0.912056482861465,79,0.689959842469857,"Schaedler","FecesOnly","Static","0","R3","Schaedler_FecesOnly_Static_0"
"repBC15_Pl2",3.15806827092865,0.916905656297324,104,0.679974691947763,"GAM","CGA","Stirred","0","R3","GAM_CGA_Stirred_0"
"repBC15_Pl3",2.91887931861313,0.911692489055135,74,0.678168023811222,"mBHI","WaterControl","Stirred","0","R3","mBHI_WaterControl_Stirred_0"
"repBC16_Pl1",2.66763792539997,0.899888513911199,26,0.818771909999919,"Schaedler","Quercetin","Stirred","0","R1","Schaedler_Quercetin_Stirred_0"
"repBC16_Pl2",3.05219825512242,0.914823180316536,58,0.751690947809086,"GAM","DMSOControl","Stirred","0","R1","GAM_DMSOControl_Stirred_0"
"repBC16_Pl3",2.69703064129725,0.898910820432156,31,0.785393328715566,"mBHI","FecesOnly","Stirred","0","R1","mBHI_FecesOnly_Stirred_0"
"repBC17_Pl1",3.24627813883274,0.924623862359874,93,0.716206702960723,"Schaedler","Quercetin","Stirred","0","R2","Schaedler_Quercetin_Stirred_0"
"repBC17_Pl2",3.36986319220303,0.933280030570626,96,0.738301078454605,"GAM","DMSOControl","Stirred","0","R2","GAM_DMSOControl_Stirred_0"
"repBC17_Pl3",2.84194160543665,0.91432512794416,36,0.793058905016153,"mBHI","FecesOnly","Stirred","0","R2","mBHI_FecesOnly_Stirred_0"
"repBC18_Pl1",3.01430945066913,0.91347688357708,82,0.684025752841063,"Schaedler","Quercetin","Stirred","0","R3","Schaedler_Quercetin_Stirred_0"
"repBC18_Pl2",3.20061315332336,0.927940024326463,83,0.724310613891843,"GAM","DMSOControl","Stirred","0","R3","GAM_DMSOControl_Stirred_0"
"repBC18_Pl3",3.04556315472388,0.926679384071019,70,0.716856906083008,"mBHI","FecesOnly","Stirred","0","R3","mBHI_FecesOnly_Stirred_0"
"repBC19_Pl1",2.92025034617858,0.905130777380759,67,0.694521719069579,"Schaedler","CGA","Stirred","0","R1","Schaedler_CGA_Stirred_0"
"repBC19_Pl2",3.13252897652417,0.918376865972621,76,0.72332529629198,"GAM","WaterControl","Stirred","0","R1","GAM_WaterControl_Stirred_0"
"repBC19_Pl3",3.17046625329653,0.924360383062619,78,0.727720483378178,"mBHI","Quercetin","Static","24","R1","mBHI_Quercetin_Static_24"
"repBC20_Pl1",2.78006490586019,0.900895609507201,47,0.722067098057594,"Schaedler","CGA","Stirred","0","R2","Schaedler_CGA_Stirred_0"
"repBC20_Pl2",3.12308691248515,0.918676101214035,72,0.730262037197257,"GAM","WaterControl","Stirred","0","R2","GAM_WaterControl_Stirred_0"
"repBC20_Pl3",3.304510446395,0.938859256279966,77,0.760740900080378,"mBHI","Quercetin","Static","24","R2","mBHI_Quercetin_Static_24"
"repBC21_Pl1",3.07748488836435,0.917467154058336,72,0.719599052794982,"Schaedler","CGA","Stirred","0","R3","Schaedler_CGA_Stirred_0"
"repBC21_Pl2",3.17035770505384,0.919360185851652,106,0.679832552987912,"GAM","WaterControl","Stirred","0","R3","GAM_WaterControl_Stirred_0"
"repBC21_Pl3",3.13074583150752,0.920310229744995,84,0.706584355355161,"mBHI","Quercetin","Static","24","R3","mBHI_Quercetin_Static_24"
"repBC22_Pl1",2.98766527851189,0.908608072809105,73,0.696350896563237,"Schaedler","DMSOControl","Stirred","0","R1","Schaedler_DMSOControl_Stirred_0"
"repBC22_Pl2",3.15793999406475,0.918238824766249,101,0.684259486299644,"GAM","FecesOnly","Stirred","0","R1","GAM_FecesOnly_Stirred_0"
"repBC22_Pl3",3.32765278853269,0.942729712534613,87,0.745123432932426,"mBHI","CGA","Static","24","R1","mBHI_CGA_Static_24"
"repBC23_Pl1",3.07786113804796,0.918378606878879,85,0.69279827750411,"Schaedler","DMSOControl","Stirred","0","R2","Schaedler_DMSOControl_Stirred_0"
"repBC23_Pl2",3.14877237716545,0.920596405271639,78,0.722741064969911,"GAM","FecesOnly","Stirred","0","R2","GAM_FecesOnly_Stirred_0"
"repBC23_Pl3",3.37573078997362,0.947537346984868,83,0.763940383823186,"mBHI","CGA","Static","24","R2","mBHI_CGA_Static_24"
"repBC24_Pl1",2.93563197465528,0.905744209246718,79,0.671854219062897,"Schaedler","DMSOControl","Stirred","0","R3","Schaedler_DMSOControl_Stirred_0"
"repBC24_Pl2",3.03408347631286,0.904814229415107,110,0.645483703834463,"GAM","FecesOnly","Stirred","0","R3","GAM_FecesOnly_Stirred_0"
"repBC24_Pl3",3.27808111834567,0.93955624223076,93,0.723223201894939,"mBHI","CGA","Static","24","R3","mBHI_CGA_Static_24"
"repBC25_Pl1",2.97556839250404,0.907363829903436,70,0.700381717049708,"Schaedler","WaterControl","Stirred","0","R1","Schaedler_WaterControl_Stirred_0"
"repBC25_Pl2",3.40893179263326,0.950126222767666,90,0.757572440254582,"GAM","Quercetin","Static","24","R1","GAM_Quercetin_Static_24"
"repBC25_Pl3",3.37560769133298,0.943070085147153,66,0.805700683990082,"mBHI","DMSOControl","Static","24","R1","mBHI_DMSOControl_Static_24"
"repBC26_Pl1",2.67332304583787,0.893154221980674,28,0.80226859956363,"Schaedler","WaterControl","Stirred","0","R2","Schaedler_WaterControl_Stirred_0"
"repBC26_Pl2",3.312839736342,0.945404441641084,66,0.790719030642528,"GAM","Quercetin","Static","24","R2","GAM_Quercetin_Static_24"
"repBC26_Pl3",3.14556482089846,0.932577515044242,45,0.82633142006983,"mBHI","DMSOControl","Static","24","R2","mBHI_DMSOControl_Static_24"
"repBC27_Pl1",2.92551983284016,0.908815431946802,59,0.717472217750604,"Schaedler","WaterControl","Stirred","0","R3","Schaedler_WaterControl_Stirred_0"
"repBC27_Pl2",3.32456399590409,0.94173961136419,85,0.748328825281345,"GAM","Quercetin","Static","24","R3","GAM_Quercetin_Static_24"
"repBC27_Pl3",3.41058390425014,0.945808030398392,82,0.773950803960901,"mBHI","DMSOControl","Static","24","R3","mBHI_DMSOControl_Static_24"
"repBC28_Pl1",2.88474512736373,0.905908635876751,71,0.67674449186318,"Schaedler","FecesOnly","Stirred","0","R1","Schaedler_FecesOnly_Stirred_0"
"repBC28_Pl2",3.48399545885464,0.95180393619486,92,0.770490570155831,"GAM","CGA","Static","24","R1","GAM_CGA_Static_24"
"repBC28_Pl3",3.39814912317122,0.94929696341167,84,0.766935144792789,"mBHI","WaterControl","Static","24","R1","mBHI_WaterControl_Static_24"
"repBC29_Pl1",2.9784769389652,0.912481920688613,64,0.716172318207871,"Schaedler","FecesOnly","Stirred","0","R2","Schaedler_FecesOnly_Stirred_0"
"repBC29_Pl2",3.48833388424735,0.951694056804519,92,0.77145001912581,"GAM","CGA","Static","24","R2","GAM_CGA_Static_24"
"repBC29_Pl3",3.35895651272097,0.947281815236968,69,0.793309405201292,"mBHI","WaterControl","Static","24","R2","mBHI_WaterControl_Static_24"
"repBC30_Pl1",3.01133088989468,0.915590894207479,70,0.708799402689715,"Schaedler","FecesOnly","Stirred","0","R3","Schaedler_FecesOnly_Stirred_0"
"repBC30_Pl2",3.46160313806999,0.948964781319686,111,0.735020902319598,"GAM","CGA","Static","24","R3","GAM_CGA_Static_24"
"repBC30_Pl3",3.39524792809287,0.949176039874218,80,0.774812252674853,"mBHI","WaterControl","Static","24","R3","mBHI_WaterControl_Static_24"
"repBC31_Pl1",2.20763439980542,0.75272255006774,57,0.546031760064183,"Schaedler","Quercetin","Static","24","R1","Schaedler_Quercetin_Static_24"
"repBC31_Pl2",3.53671086912445,0.952311673629451,100,0.767987007274002,"GAM","DMSOControl","Static","24","R1","GAM_DMSOControl_Static_24"
"repBC31_Pl3",3.37092480145138,0.947775325958134,79,0.771476148765141,"mBHI","FecesOnly","Static","24","R1","mBHI_FecesOnly_Static_24"
"repBC32_Pl1",1.83816941654974,0.747593261567538,47,0.477428298004291,"Schaedler","Quercetin","Static","24","R2","Schaedler_Quercetin_Static_24"
"repBC32_Pl2",3.56727507098594,0.954664466829239,110,0.758917130458976,"GAM","DMSOControl","Static","24","R2","GAM_DMSOControl_Static_24"
"repBC32_Pl3",3.4106959672349,0.94903945342762,86,0.765700503439323,"mBHI","FecesOnly","Static","24","R2","mBHI_FecesOnly_Static_24"
"repBC33_Pl1",2.14851563508849,0.777842501452564,50,0.549208333414019,"Schaedler","Quercetin","Static","24","R3","Schaedler_Quercetin_Static_24"
"repBC33_Pl2",3.56718256912147,0.954698956859141,94,0.785153229115186,"GAM","DMSOControl","Static","24","R3","GAM_DMSOControl_Static_24"
"repBC33_Pl3",3.36407847358018,0.947603725783028,94,0.740449087016837,"mBHI","FecesOnly","Static","24","R3","mBHI_FecesOnly_Static_24"
"repBC34_Pl1",2.55749236532482,0.850886213481235,66,0.610430339204474,"Schaedler","CGA","Static","24","R1","Schaedler_CGA_Static_24"
"repBC34_Pl2",3.55024705480119,0.955006306758023,101,0.769264213544545,"GAM","WaterControl","Static","24","R1","GAM_WaterControl_Static_24"
"repBC34_Pl3",3.33528667643433,0.937971502019644,74,0.774915482040577,"mBHI","Quercetin","Stirred","24","R1","mBHI_Quercetin_Stirred_24"
"repBC35_Pl1",2.07503443377627,0.724195939993039,53,0.522640269017346,"Schaedler","CGA","Static","24","R2","Schaedler_CGA_Static_24"
"repBC35_Pl2",3.46400053143101,0.949139072506284,90,0.769810455377942,"GAM","WaterControl","Static","24","R2","GAM_WaterControl_Static_24"
"repBC35_Pl3",3.3957037358558,0.943583784603011,83,0.768460335469993,"mBHI","Quercetin","Stirred","24","R2","mBHI_Quercetin_Stirred_24"
"repBC36_Pl1",2.00175124543423,0.668633821523976,62,0.485022065840089,"Schaedler","CGA","Static","24","R3","Schaedler_CGA_Static_24"
"repBC36_Pl2",3.46760526174337,0.948907507898055,109,0.739149035371834,"GAM","WaterControl","Static","24","R3","GAM_WaterControl_Static_24"
"repBC36_Pl3",3.43355186646179,0.946090015595398,91,0.761174641218892,"mBHI","Quercetin","Stirred","24","R3","mBHI_Quercetin_Stirred_24"
"repBC37_Pl1",2.22611545286563,0.754036000179472,61,0.54151879294241,"Schaedler","DMSOControl","Static","24","R1","Schaedler_DMSOControl_Static_24"
"repBC37_Pl2",3.48545309802866,0.949512497161367,94,0.767164198024411,"GAM","FecesOnly","Static","24","R1","GAM_FecesOnly_Static_24"
"repBC37_Pl3",3.35209755970329,0.943914558699257,76,0.774025389307774,"mBHI","CGA","Stirred","24","R1","mBHI_CGA_Stirred_24"
"repBC38_Pl1",2.1860528053581,0.765593838100618,60,0.53392008711931,"Schaedler","DMSOControl","Static","24","R2","Schaedler_DMSOControl_Static_24"
"repBC38_Pl2",3.50686572326081,0.950967699463596,108,0.748989200248182,"GAM","FecesOnly","Static","24","R2","GAM_FecesOnly_Static_24"
"repBC38_Pl3",3.48132032882555,0.94924226454439,85,0.783613236294353,"mBHI","CGA","Stirred","24","R2","mBHI_CGA_Stirred_24"
"repBC39_Pl1",1.78333575101118,0.724963664549201,43,0.474140087247747,"Schaedler","DMSOControl","Static","24","R3","Schaedler_DMSOControl_Static_24"
"repBC39_Pl2",3.55445527624761,0.955206824459099,97,0.776979199986629,"GAM","FecesOnly","Static","24","R3","GAM_FecesOnly_Static_24"
"repBC39_Pl3",3.43605363757852,0.948939397647098,93,0.758075722941962,"mBHI","CGA","Stirred","24","R3","mBHI_CGA_Stirred_24"
"repBC40_Pl1",1.98619029983723,0.682089503468151,62,0.481251666297638,"Schaedler","WaterControl","Static","24","R1","Schaedler_WaterControl_Static_24"
"repBC40_Pl2",3.48564726779234,0.951108447324658,117,0.731944552113545,"GAM","Quercetin","Stirred","24","R1","GAM_Quercetin_Stirred_24"
"repBC40_Pl3",3.16953701326323,0.924894178116185,94,0.697629620167329,"mBHI","DMSOControl","Stirred","24","R1","mBHI_DMSOControl_Stirred_24"
"repBC41_Pl1",1.98434031811594,0.685784759583607,60,0.484653963036025,"Schaedler","WaterControl","Static","24","R2","Schaedler_WaterControl_Static_24"
"repBC41_Pl2",3.6519954805626,0.959735047698055,136,0.743385311100563,"GAM","Quercetin","Stirred","24","R2","GAM_Quercetin_Stirred_24"
"repBC41_Pl3",3.28330728409077,0.928334094933712,91,0.727867334229178,"mBHI","DMSOControl","Stirred","24","R2","mBHI_DMSOControl_Stirred_24"
"repBC42_Pl1",1.97354843480213,0.716188354725136,45,0.518445866978138,"Schaedler","WaterControl","Static","24","R3","Schaedler_WaterControl_Static_24"
"repBC42_Pl2",3.45061092630028,0.952506843591416,71,0.809493329509724,"GAM","Quercetin","Stirred","24","R3","GAM_Quercetin_Stirred_24"
"repBC42_Pl3",3.31467882925023,0.939233170616574,63,0.80004128471515,"mBHI","DMSOControl","Stirred","24","R3","mBHI_DMSOControl_Stirred_24"
"repBC43_Pl1",1.95411439515024,0.690528602408406,55,0.487634620038933,"Schaedler","FecesOnly","Static","24","R1","Schaedler_FecesOnly_Static_24"
"repBC43_Pl2",3.59462162443153,0.95755170962443,99,0.782269394850766,"GAM","CGA","Stirred","24","R1","GAM_CGA_Stirred_24"
"repBC43_Pl3",3.36845475182399,0.947298859028651,71,0.790219967013334,"mBHI","WaterControl","Stirred","24","R1","mBHI_WaterControl_Stirred_24"
"repBC44_Pl1",2.07371635104731,0.68422815606659,68,0.491459311356029,"Schaedler","FecesOnly","Static","24","R2","Schaedler_FecesOnly_Static_24"
"repBC44_Pl2",3.54465474848582,0.954091124966961,107,0.758567213578238,"GAM","CGA","Stirred","24","R2","GAM_CGA_Stirred_24"
"repBC44_Pl3",3.36892392562994,0.946473246260592,77,0.775569713293529,"mBHI","WaterControl","Stirred","24","R2","mBHI_WaterControl_Stirred_24"
"repBC45_Pl1",1.84861949491536,0.609317271525509,60,0.451505599204399,"Schaedler","FecesOnly","Static","24","R3","Schaedler_FecesOnly_Static_24"
"repBC45_Pl2",3.60917924509183,0.957725179232834,105,0.775507089348038,"GAM","CGA","Stirred","24","R3","GAM_CGA_Stirred_24"
"repBC45_Pl3",3.36838826616508,0.945735548749496,77,0.775446397580038,"mBHI","WaterControl","Stirred","24","R3","mBHI_WaterControl_Stirred_24"
