"sample_id","total_counts","medium","treatment","stirred","time","replicate","condition"
"repBC01_Pl1",40355.942477648,"Schaedler","Quercetin","Static","0","R1","Schaedler_Quercetin_Static_0"
"repBC01_Pl2",65738.8622467709,"GAM","DMSOControl","Static","0","R1","GAM_DMSOControl_Static_0"
"repBC01_Pl3",40440.7850389407,"mBHI","FecesOnly","Static","0","R1","mBHI_FecesOnly_Static_0"
"repBC02_Pl1",48507.8907587893,"Schaedler","Quercetin","Static","0","R2","Schaedler_Quercetin_Static_0"
"repBC02_Pl2",21376.9796485813,"GAM","DMSOControl","Static","0","R2","GAM_DMSOControl_Static_0"
"repBC02_Pl3",46730.1721663861,"mBHI","FecesOnly","Static","0","R2","mBHI_FecesOnly_Static_0"
"repBC03_Pl1",28037.3790244428,"Schaedler","Quercetin","Static","0","R3","Schaedler_Quercetin_Static_0"
"repBC03_Pl2",43767.0163696294,"GAM","DMSOControl","Static","0","R3","GAM_DMSOControl_Static_0"
"repBC03_Pl3",14293.916551192,"mBHI","FecesOnly","Static","0","R3","mBHI_FecesOnly_Static_0"
"repBC04_Pl1",47640.5626321103,"Schaedler","CGA","Static","0","R1","Schaedler_CGA_Static_0"
"repBC04_Pl2",87294.8419747326,"GAM","WaterControl","Static","0","R1","GAM_WaterControl_Static_0"
"repBC04_Pl3",34716.0620779339,"mBHI","Quercetin","Stirred","0","R1","mBHI_Quercetin_Stirred_0"
"repBC05_Pl1",31764.7012276042,"Schaedler","CGA","Static","0","R2","Schaedler_CGA_Static_0"
"repBC05_Pl2",110289.477684454,"GAM","WaterControl","Static","0","R2","GAM_WaterControl_Static_0"
"repBC05_Pl3",36426.0976689827,"mBHI","Quercetin","Stirred","0","R2","mBHI_Quercetin_Stirred_0"
"repBC06_Pl1",29607.3327420767,"Schaedler","CGA","Static","0","R3","Schaedler_CGA_Static_0"
"repBC06_Pl2",66967.21788237,"GAM","WaterControl","Static","0","R3","GAM_WaterControl_Static_0"
"repBC06_Pl3",24505.1239499913,"mBHI","Quercetin","Stirred","0","R3","mBHI_Quercetin_Stirred_0"
"repBC07_Pl1",50526.1012997439,"Schaedler","DMSOControl","Static","0","R1","Schaedler_DMSOControl_Static_0"
"repBC07_Pl2",52867.0552095241,"GAM","FecesOnly","Static","0","R1","GAM_FecesOnly_Static_0"
"repBC07_Pl3",77449.9357525495,"mBHI","CGA","Stirred","0","R1","mBHI_CGA_Stirred_0"
"repBC08_Pl1",33405.2326233227,"Schaedler","DMSOControl","Static","0","R2","Schaedler_DMSOControl_Static_0"
"repBC08_Pl2",61862.2635371865,"GAM","FecesOnly","Static","0","R2","GAM_FecesOnly_Static_0"
"repBC08_Pl3",39833.1501827559,"mBHI","CGA","Stirred","0","R2","mBHI_CGA_Stirred_0"
"repBC09_Pl1",27906.8309012548,"Schaedler","DMSOControl","Static","0","R3","Schaedler_DMSOControl_Static_0"
"repBC09_Pl2",31072.0252075213,"GAM","FecesOnly","Static","0","R3","GAM_FecesOnly_Static_0"
"repBC09_Pl3",20235.7229206,"mBHI","CGA","Stirred","0","R3","mBHI_CGA_Stirred_0"
"repBC10_Pl1",53662.7585681423,"Schaedler","WaterControl","Static","0","R1","Schaedler_WaterControl_Static_0"
"repBC10_Pl2",73807.5069353038,"GAM","Quercetin","Stirred","0","R1","GAM_Quercetin_Stirred_0"
"repBC10_Pl3",31607.3262875317,"mBHI","DMSOControl","Stirred","0","R1","mBHI_DMSOControl_Stirred_0"
"repBC11_Pl1",35542.2500798212,"Schaedler","WaterControl","Static","0","R2","Schaedler_WaterControl_Static_0"
"repBC11_Pl2",44741.8956684721,"GAM","Quercetin","Stirred","0","R2","GAM_Quercetin_Stirred_0"
"repBC11_Pl3",31199.9221332482,"mBHI","DMSOControl","Stirred","0","R2","mBHI_DMSOControl_Stirred_0"
"repBC12_Pl1",24825.6372627705,"Schaedler","WaterControl","Static","0","R3","Schaedler_WaterControl_Static_0"
"repBC12_Pl2",49966.938777008,"GAM","Quercetin","Stirred","0","R3","GAM_Quercetin_Stirred_0"
"repBC12_Pl3",22205.9721650918,"mBHI","DMSOControl","Stirred","0","R3","mBHI_DMSOControl_Stirred_0"
"repBC13_Pl1",21041.9036424248,"Schaedler","FecesOnly","Static","0","R1","Schaedler_FecesOnly_Static_0"
"repBC13_Pl2",44734.9368094102,"GAM","CGA","Stirred","0","R1","GAM_CGA_Stirred_0"
"repBC13_Pl3",22797.8782583991,"mBHI","WaterControl","Stirred","0","R1","mBHI_WaterControl_Stirred_0"
"repBC14_Pl1",38098.659209874,"Schaedler","FecesOnly","Static","0","R2","Schaedler_FecesOnly_Static_0"
"repBC14_Pl2",50552.2943855573,"GAM","CGA","Stirred","0","R2","GAM_CGA_Stirred_0"
"repBC14_Pl3",33584.1128604268,"mBHI","WaterControl","Stirred","0","R2","mBHI_WaterControl_Stirred_0"
"repBC15_Pl1",32523.1082250943,"Schaedler","FecesOnly","Static","0","R3","Schaedler_FecesOnly_Static_0"
"repBC15_Pl2",62594.8408946503,"GAM","CGA","Stirred","0","R3","GAM_CGA_Stirred_0"
"repBC15_Pl3",47641.1747454513,"mBHI","WaterControl","Stirred","0","R3","mBHI_WaterControl_Stirred_0"
"repBC16_Pl1",3014.11217228462,"Schaedler","Quercetin","Stirred","0","R1","Schaedler_Quercetin_Stirred_0"
"repBC16_Pl2",12199.4329727801,"GAM","DMSOControl","Stirred","0","R1","GAM_DMSOControl_Stirred_0"
"repBC16_Pl3",5264.61419514526,"mBHI","FecesOnly","Stirred","0","R1","mBHI_FecesOnly_Stirred_0"
"repBC17_Pl1",34314.4791884187,"Schaedler","Quercetin","Stirred","0","R2","Schaedler_Quercetin_Stirred_0"
"repBC17_Pl2",40285.4432466048,"GAM","DMSOControl","Stirred","0","R2","GAM_DMSOControl_Stirred_0"
"repBC17_Pl3",4975.89806223181,"mBHI","FecesOnly","Stirred","0","R2","mBHI_FecesOnly_Stirred_0"
"repBC18_Pl1",48629.1429867007,"Schaedler","Quercetin","Stirred","0","R3","Schaedler_Quercetin_Stirred_0"
"repBC18_Pl2",33576.8452633473,"GAM","DMSOControl","Stirred","0","R3","GAM_DMSOControl_Stirred_0"
"repBC18_Pl3",29659.4692280916,"mBHI","FecesOnly","Stirred","0","R3","mBHI_FecesOnly_Stirred_0"
"repBC19_Pl1",20288.1926337434,"Schaedler","CGA","Stirred","0","R1","Schaedler_CGA_Stirred_0"
"repBC19_Pl2",31042.9296293509,"GAM","WaterControl","Stirred","0","R1","GAM_WaterControl_Stirred_0"
"repBC19_Pl3",29690.1720032204,"mBHI","Quercetin","Static","24","R1","mBHI_Quercetin_Static_24"
"repBC20_Pl1",10715.5896742289,"Schaedler","CGA","Stirred","0","R2","Schaedler_CGA_Stirred_0"
"repBC20_Pl2",21814.9149275341,"GAM","WaterControl","Stirred","0","R2","GAM_WaterControl_Stirred_0"
"repBC20_Pl3",25235.9730078498,"mBHI","Quercetin","Static","24","R2","mBHI_Quercetin_Static_24"
"repBC21_Pl1",19622.9021149925,"Schaedler","CGA","Stirred","0","R3","Schaedler_CGA_Stirred_0"
"repBC21_Pl2",80621.7905892292,"GAM","WaterControl","Stirred","0","R3","GAM_WaterControl_Stirred_0"
"repBC21_Pl3",53505.6829340461,"mBHI","Quercetin","Static","24","R3","mBHI_Quercetin_Static_24"
"repBC22_Pl1",30037.340412544,"Schaedler","DMSOControl","Stirred","0","R1","Schaedler_DMSOControl_Stirred_0"
"repBC22_Pl2",81562.7646005159,"GAM","FecesOnly","Stirred","0","R1","GAM_FecesOnly_Stirred_0"
"repBC22_Pl3",36959.2382764302,"mBHI","CGA","Static","24","R1","mBHI_CGA_Static_24"
"repBC23_Pl1",37325.301417621,"Schaedler","DMSOControl","Stirred","0","R2","Schaedler_DMSOControl_Stirred_0"
"repBC23_Pl2",34095.4765537725,"GAM","FecesOnly","Stirred","0","R2","GAM_FecesOnly_Stirred_0"
"repBC23_Pl3",31070.5416272245,"mBHI","CGA","Static","24","R2","mBHI_CGA_Static_24"
"repBC24_Pl1",45302.7694050969,"Schaedler","DMSOControl","Stirred","0","R3","Schaedler_DMSOControl_Stirred_0"
"repBC24_Pl2",118289.236447037,"GAM","FecesOnly","Stirred","0","R3","GAM_FecesOnly_Stirred_0"
"repBC24_Pl3",50086.788856992,"mBHI","CGA","Static","24","R3","mBHI_CGA_Static_24"
"repBC25_Pl1",23231.9167034463,"Schaedler","WaterControl","Stirred","0","R1","Schaedler_WaterControl_Stirred_0"
"repBC25_Pl2",35124.8783308137,"GAM","Quercetin","Static","24","R1","GAM_Quercetin_Static_24"
"repBC25_Pl3",12021.1415655658,"mBHI","DMSOControl","Static","24","R1","mBHI_DMSOControl_Static_24"
"repBC26_Pl1",2821.56813566901,"Schaedler","WaterControl","Stirred","0","R2","Schaedler_WaterControl_Stirred_0"
"repBC26_Pl2",14299.1664765408,"GAM","Quercetin","Static","24","R2","GAM_Quercetin_Static_24"
"repBC26_Pl3",4638.39993231549,"mBHI","DMSOControl","Static","24","R2","mBHI_DMSOControl_Static_24"
"repBC27_Pl1",15518.9418940029,"Schaedler","WaterControl","Stirred","0","R3","Schaedler_WaterControl_Stirred_0"
"repBC27_Pl2",31889.9312354598,"GAM","Quercetin","Static","24","R3","GAM_Quercetin_Static_24"
"repBC27_Pl3",27208.6277516324,"mBHI","DMSOControl","Static","24","R3","mBHI_DMSOControl_Static_24"
"repBC28_Pl1",28848.1068583883,"Schaedler","FecesOnly","Stirred","0","R1","Schaedler_FecesOnly_Stirred_0"
"repBC28_Pl2",44200.7653127743,"GAM","CGA","Static","24","R1","GAM_CGA_Static_24"
"repBC28_Pl3",39116.4169489473,"mBHI","WaterControl","Static","24","R1","mBHI_WaterControl_Static_24"
"repBC29_Pl1",21144.3522174279,"Schaedler","FecesOnly","Stirred","0","R2","Schaedler_FecesOnly_Stirred_0"
"repBC29_Pl2",38254.1695965465,"GAM","CGA","Static","24","R2","GAM_CGA_Static_24"
"repBC29_Pl3",21953.7129767801,"mBHI","WaterControl","Static","24","R2","mBHI_WaterControl_Static_24"
"repBC30_Pl1",24773.4080111718,"Schaedler","FecesOnly","Stirred","0","R3","Schaedler_FecesOnly_Stirred_0"
"repBC30_Pl2",54660.7637519267,"GAM","CGA","Static","24","R3","GAM_CGA_Static_24"
"repBC30_Pl3",31992.2052890537,"mBHI","WaterControl","Static","24","R3","mBHI_WaterControl_Static_24"
"repBC31_Pl1",32373.6227245364,"Schaedler","Quercetin","Static","24","R1","Schaedler_Quercetin_Static_24"
"repBC31_Pl2",40731.4681025781,"GAM","DMSOControl","Static","24","R1","GAM_DMSOControl_Static_24"
"repBC31_Pl3",26889.5404373929,"mBHI","FecesOnly","Static","24","R1","mBHI_FecesOnly_Static_24"
"repBC32_Pl1",40648.495111007,"Schaedler","Quercetin","Static","24","R2","Schaedler_Quercetin_Static_24"
"repBC32_Pl2",60974.6296279496,"GAM","DMSOControl","Static","24","R2","GAM_DMSOControl_Static_24"
"repBC32_Pl3",36352.8061027332,"mBHI","FecesOnly","Static","24","R2","mBHI_FecesOnly_Static_24"
"repBC33_Pl1",25702.0369545527,"Schaedler","Quercetin","Static","24","R3","Schaedler_Quercetin_Static_24"
"repBC33_Pl2",33555.2136136026,"GAM","DMSOControl","Static","24","R3","GAM_DMSOControl_Static_24"
"repBC33_Pl3",46501.8168822633,"mBHI","FecesOnly","Static","24","R3","mBHI_FecesOnly_Static_24"
"repBC34_Pl1",37196.5512461385,"Schaedler","CGA","Static","24","R1","Schaedler_CGA_Static_24"
"repBC34_Pl2",60878.1305816893,"GAM","WaterControl","Static","24","R1","GAM_WaterControl_Static_24"
"repBC34_Pl3",20816.5835888721,"mBHI","Quercetin","Stirred","24","R1","mBHI_Quercetin_Stirred_24"
"repBC35_Pl1",26878.0047885326,"Schaedler","CGA","Static","24","R2","Schaedler_CGA_Static_24"
"repBC35_Pl2",32514.8484750478,"GAM","WaterControl","Static","24","R2","GAM_WaterControl_Static_24"
"repBC35_Pl3",28908.1943674649,"mBHI","Quercetin","Stirred","24","R2","mBHI_Quercetin_Stirred_24"
"repBC36_Pl1",42187.4540455787,"Schaedler","CGA","Static","24","R3","Schaedler_CGA_Static_24"
"repBC36_Pl2",60488.6704673651,"GAM","WaterControl","Static","24","R3","GAM_WaterControl_Static_24"
"repBC36_Pl3",40478.0214775617,"mBHI","Quercetin","Stirred","24","R3","mBHI_Quercetin_Stirred_24"
"repBC37_Pl1",33429.6904911004,"Schaedler","DMSOControl","Static","24","R1","Schaedler_DMSOControl_Static_24"
"repBC37_Pl2",36067.2577746274,"GAM","FecesOnly","Static","24","R1","GAM_FecesOnly_Static_24"
"repBC37_Pl3",29595.7119320527,"mBHI","CGA","Stirred","24","R1","mBHI_CGA_Stirred_24"
"repBC38_Pl1",37062.0262047953,"Schaedler","DMSOControl","Static","24","R2","Schaedler_DMSOControl_Static_24"
"repBC38_Pl2",50735.2087121607,"GAM","FecesOnly","Static","24","R2","GAM_FecesOnly_Static_24"
"repBC38_Pl3",23249.8514906263,"mBHI","CGA","Stirred","24","R2","mBHI_CGA_Stirred_24"
"repBC39_Pl1",32655.8144621093,"Schaedler","DMSOControl","Static","24","R3","Schaedler_DMSOControl_Static_24"
"repBC39_Pl2",35898.3248837032,"GAM","FecesOnly","Static","24","R3","GAM_FecesOnly_Static_24"
"repBC39_Pl3",50441.6313628978,"mBHI","CGA","Stirred","24","R3","mBHI_CGA_Stirred_24"
"repBC40_Pl1",44014.4070654163,"Schaedler","WaterControl","Static","24","R1","Schaedler_WaterControl_Static_24"
"repBC40_Pl2",82924.2589762561,"GAM","Quercetin","Stirred","24","R1","GAM_Quercetin_Stirred_24"
"repBC40_Pl3",80674.879769518,"mBHI","DMSOControl","Stirred","24","R1","mBHI_DMSOControl_Stirred_24"
"repBC41_Pl1",46694.2004281184,"Schaedler","WaterControl","Static","24","R2","Schaedler_WaterControl_Static_24"
"repBC41_Pl2",84809.0529383822,"GAM","Quercetin","Stirred","24","R2","GAM_Quercetin_Stirred_24"
"repBC41_Pl3",55142.7005672169,"mBHI","DMSOControl","Stirred","24","R2","mBHI_DMSOControl_Stirred_24"
"repBC42_Pl1",27664.884490992,"Schaedler","WaterControl","Static","24","R3","Schaedler_WaterControl_Static_24"
"repBC42_Pl2",14281.7194222994,"GAM","Quercetin","Stirred","24","R3","GAM_Quercetin_Stirred_24"
"repBC42_Pl3",13244.4739911213,"mBHI","DMSOControl","Stirred","24","R3","mBHI_DMSOControl_Stirred_24"
"repBC43_Pl1",28320.529323984,"Schaedler","FecesOnly","Static","24","R1","Schaedler_FecesOnly_Static_24"
"repBC43_Pl2",46157.4405791134,"GAM","CGA","Stirred","24","R1","GAM_CGA_Stirred_24"
"repBC43_Pl3",20512.1743414811,"mBHI","WaterControl","Stirred","24","R1","mBHI_WaterControl_Stirred_24"
"repBC44_Pl1",50392.5152726202,"Schaedler","FecesOnly","Static","24","R2","Schaedler_FecesOnly_Static_24"
"repBC44_Pl2",61011.8838047074,"GAM","CGA","Stirred","24","R2","GAM_CGA_Stirred_24"
"repBC44_Pl3",26030.6242343138,"mBHI","WaterControl","Stirred","24","R2","mBHI_WaterControl_Stirred_24"
"repBC45_Pl1",37804.3487936312,"Schaedler","FecesOnly","Static","24","R3","Schaedler_FecesOnly_Static_24"
"repBC45_Pl2",49337.8839572902,"GAM","CGA","Stirred","24","R3","GAM_CGA_Stirred_24"
"repBC45_Pl3",27903.9376809866,"mBHI","WaterControl","Stirred","24","R3","mBHI_WaterControl_Stirred_24"
