genus	repBC13_Pl2	repBC14_Pl2	repBC15_Pl2	repBC19_Pl2	repBC20_Pl2	repBC21_Pl2
Acetanaerobacterium	0	0	0	0	0	0
Acetivibrio	0	0	0	0	0	0
Acholeplasma	0	0	0	0	0	0
Acidaminococcus	56.29349491312582	60.00808481446014	74.86095769893168	46.02974308126517	31	149.01416285524817
Acidimicrobium	0	0	0	0	0	0
Acutalibacter	0	0	17.47201911135773	0	0	18.953640563110557
Adlercreutzia	42.68628150282471	32.71015530279458	33.43695343083037	31	19.999999767067365	54.704050298628914
Agathobacter	0	0	0	0	0	0
Agathobaculum	78.45076785144441	114.82341549969404	155.8945078672025	106.7165017486754	57.54024053490102	265.5336430664299
Akkermansia	0	0	0	0	0	0
Alginatibacterium	0	0	0	0	0	0
Alistipes	353.12439265521954	410.6329746378131	527.2703245014844	145.07971418401257	133.19399616168374	427.0155939096049
Allisonella	0	0	0	0	0	0
Alterileibacterium	0	0	0	0	0	0
Amedibacillus	0	0	0	0	0	0
Aminiphilus	10	0	18.03690472949478	13	0	14.000162536958369
Aminipila	0	0	0	0	0	0
Anaerobutyricum	712.4390650379377	914.5093002370572	1035.2904414094958	503.6731489493809	349.3245077377786	1353.8383198682482
Anaerocolumna	0	0	0	0	0	0
Anaeromassilibacillus	99.66771076773044	81.81485351521047	137.11886988716776	73.66550599205324	39.953992578441046	194.8758271479475
Anaerosporomusa	0	0	0	0	0	0
Anaerostipes	984.9862690398226	1308.6993334326564	1613.2857860384747	826.3747500569167	504.7458637610324	2323.7799493774637
Anaerotaenia	0	0	16.247098109282735	0	0	0
Anaerotignum	0	0	0	0	0	0
Anaerotruncus	0	13.23276228782128	11.709760944773134	0	0	18.905960910168083
Anaerovorax	0	0	0	0	0	0
Annwoodia	0	0	0	0	0	0
Asaccharobacter	0	0	0	0	0	0
Atlantibacter	0	0	0	0	0	0
Bacillus	0	0	0	0	0	0
Bacteroides	1775.6637942290238	1660.8781090309428	2456.7482065740605	1092.7552977062776	831.4767160714482	2658.0457221994993
Bariatricus	177.14005750957003	243.2587942912673	252.2030120962293	124.08802575974744	103.02296040172013	379.0952624637952
Barnesiella	179.4260531300016	174.1499836696766	214.77241586963729	69.98052005058344	62.92491093100884	204.9774013906416
Beduini	0	0	0	0	0	0
Bifidobacterium	177.99301089068382	128.20557283954506	198.25275460697657	79.13190141604241	44.9859130745877	137.62676167471608
Blautia	5794.378021827113	5582.727349678681	6751.74840992135	4009.5590575506662	2425.6906800695824	10293.460146791927
Breznakia	0	0	0	0	0	0
Butyricicoccus	272.58360457935134	239.65512050394463	323.6736207752332	225.2598532935827	135.91821145266107	568.5273845195791
Butyricimonas	0	23.04756938778059	0	0	0	22.00000000000716
Butyrivibrio	0	0	13.218771924625532	0	0	14.502288649355071
Caldicoprobacter	0	0	0	0	0	0
Caproiciproducens	16.107754659940902	21.78702792617478	15.992773894635594	0	0	31.99531387520814
Casaltella	0	0	0	0	0	0
Catenibacterium	910.9340324810976	1002.277719437064	1159.802520454434	366.9727605118894	484.7661447580249	846.4940800160671
Cellulosilyticum	0	0	0	0	0	0
Christensenella	80.64079569670601	92.03371435511907	126.65297400672632	72.0040743572288	53.48565589791895	174.757437939414
Citrobacter	0	0	0	0	0	0
Clostridioides	12.874280343754249	0	0	0	0	14.927516203327883
Clostridium	391.2162854495089	366.0672152843074	484.38720619858526	183.1564083440972	166.34225538677836	346.01950266090694
Colibacter	0	0	0	0	0	0
Colidextribacter	26.73262068441432	21.21554993736654	20.682568120593423	13.462506619811649	0	32.74655954669812
Collinsella	897.8859590853623	439.81926588594496	533.4860538054561	674.0482714359711	494.6057391215407	1531.398126473544
Coprobacter	0	0	0	0	0	0
Coprococcus	1161.6179352700287	1420.81304248244	1832.6238670271928	1162.1470545444072	789.5733677148651	3143.419064556404
Corynebacterium	0	0	0	0	0	0
Cuneatibacter	40.49809363778323	41.25249680891132	61.59886937188807	34.794597516673115	18.008328092215354	115.73161468369614
Dehalobacter	0	0	0	0	0	0
Desulfitispora	0	0	0	0	0	0
Desulfothermobacter	0	0	0	0	0	0
Desulfovibrio	0	0	0	0	0	0
Dialister	571.9866861949678	721.4261848923785	877.5406883459331	489.98067211962064	269.23853290056206	1230.0348413209892
Dielma	0	0	0	0	0	0
Dorea	707.2515039929899	829.4853720327574	1051.8786373310982	763.5216253527874	475.06272354512345	2040.7041022582732
Drancourtella	0	0	0	0	0	0
Duncaniella	41.00000147888955	30.42205150309637	42.86151114690754	13	13	40.55287008322298
Duodenibacillus	10.999989618538605	19.96645424391751	20.00000000000252	0	0	21.98105884449644
Dysosmobacter	87.53971041885107	78.13321683826635	82.25411869610816	57.507195875536	53.27066382475889	141.40531517411944
Eggerthella	27.313694538412506	20.788832605837943	25.85135903795947	0	0	33.19140027413688
Eisenbergiella	0	0	0	0	0	0
Emergencia	0	0	0	0	0	16.999618171226366
Enterobacter	0	0	0	0	0	0
Enterocloster	107.8258455159466	97.89669164015636	135.91788740548066	85.29468570907521	70.82967557675757	251.9440026027113
Enterococcus	91.78377532838246	84.08659516247899	112.91646164873104	92.78413833984072	61.64341904711415	213.952725987362
Enterorhabdus	0	0	0	0	0	16.096071599996073
Erysipelatoclostridium	74.7318917221694	102.08627758661224	106.41377879916578	19.87150823139855	26.521140826428656	76.85039649631511
Escherichia	320.7217688562418	359.1699944118219	448.149863620268	165.0000000608615	156.99767408580536	340.0350754076874
Eubacterium	245.06622384051556	259.82759163437566	334.57993204738915	192.67557899274547	112.88039238430277	482.1252756724752
Faecalibacterium	7186.927179171369	9253.183440512154	11026.32603743418	6036.494670308597	4050.783173428406	15694.554351749635
Faecalibaculum	0	0	0	0	0	0
Faecalicatena	808.7804145735759	1138.649020487086	1283.4575361007708	762.5112184182126	430.8558626775774	1924.4942545428216
Faecalimonas	262.84725459499475	368.71573125431087	428.5935324108205	248.72166332386905	143.7296963674002	655.6780745658684
Faecalitalea	18.30398601460145	17.454920545078707	37.66485087888296	11.03357468520282	0	22.13309069665777
Falcatimonas	0	0	11.427476107319098	0	0	16.108813650065848
Fastidiosipila	0	0	0	0	0	0
Flavonifractor	19.71624908506165	22.68887684960993	32.16002272886545	26.50740632895736	21.127926783709327	30.186050484559164
Flintibacter	52.60444490375637	44.38367617668384	55.05238427603855	24.414580564437628	24.33860114831801	62.76850626795023
Fournierella	22.47192911292075	16.43680483579667	23.445811535822	0	0	17.39872054855416
Frisingicoccus	0	12.70975422736587	10.73700197451353	0	0	10.322218282636747
Fusibacter	0	0	0	0	0	0
Fusicatenibacter	1043.5687222895524	1258.3151142200052	1504.3495900560397	806.3518376955413	572.2300526530466	2166.628382875951
Gemmiger	833.3893425530324	800.5415198184761	948.4504858254086	460.06164795277095	313.9623350893742	1293.1909405659378
Geosporobacter	0	0	0	0	0	0
Gordonibacter	0	0	0	0	0	0
Gottschalkia	0	0	0	0	0	0
Haemophilus	0	0	0	0	0	0
Harryflintia	0	0	0	0	0	0
Herbinix	0	0	0	0	0	0
Hespellia	0	29.174778260390376	105.99445025991952	23.783379646724494	0	40.29694974747144
Holdemanella	634.7014892746056	752.5228104458713	881.8336470695452	230.5426639486762	408.6606412555351	587.2987913156597
Holdemania	0	0	0	0	0	0
Hungateiclostridium	64.00000066532884	48.44287543037655	64.54626610894225	57.42774115362559	30.99999748004632	142.53459264469203
Hungatella	74.28303322031152	77.20641027652367	106.07140794619271	79.66047503663854	44.38200555251825	199.15164780874605
Hydrogenoanaerobacterium	0	19.19232692222533	27.500680174498683	0	0	20.031740863824936
Ichthyobacterium	0	0	0	0	0	0
Ihubacter	0	18.00873941817408	26.067326966530462	0	0	27.000272420937364
Intestinibacillus	0	0	0	0	0	0
Intestinibacter	79.16989029776497	97.622806918236	128.24298514092052	54.91249587443853	42.084876049399696	149.10296522344407
Intestinimonas	13.271672618612824	0	0	0	0	20.53597172375217
Klebsiella	0	0	0	0	0	0
Knoellia	0	0	0	0	0	0
Kytococcus	0	0	0	0	0	0
Laceyella	16.007033336000116	46	43	18.52374497108731	0	72.00458406517423
Lachnoclostridium	58.29683131763021	61.00208889669657	120.9122183288779	44.12355841148486	21.039762144973334	130.5726708756061
Lachnospira	312.67120117171663	328.7758825205426	397.2680447572956	205.58881211522137	142.28760581205813	600.5795503578903
Lacrimispora	145.62122986739837	163.15843773262918	225.9633835532084	107.3619665383844	47.295112335883815	295.506533550075
Lactiplantibacillus	0	0	0	0	0	0
Lactobacillus	48.26755995225162	79.52465465913883	96.50050003762983	37.14015598556748	19.00286340575616	170.55271488412396
Lactococcus	0	0	0	0	0	16.97103396972061
Lactonifactor	0	0	0	0	0	0
Lelliottia	0	0	0	0	0	0
Libanicoccus	0	0	0	0	0	0
Longibaculum	214.4231920720916	442.8251177857828	567.4416508492108	127.843821413811	123.52865767822752	347.19195708615104
Mageeibacillus	0	0	0	0	0	0
Massilimicrobiota	0	10.14070362973331	16.73086461852497	0	0	0
Massiliprevotella	0	0	0	0	0	0
Massilistercora	0	14.014893494968902	22.368848666529573	0	0	13.75025003226387
Mediterraneibacter	1798.5778800975518	2219.2377750614387	2643.903041088543	1577.3308800089187	913.5120498252816	3922.749264942627
Megamonas	77.24161659700252	94.9432141507216	115.00001921441634	50.0125550752077	26.983406283424024	146.99176831340978
Megasphaera	0	13.00000912900309	15.815097787143682	0	0	19.00000022912396
Metakosakonia	0	0	0	0	0	0
Mitsuokella	12	11.000016798144108	14.543767332872225	0	0	12
Mogibacterium	0	0	0	0	0	13.999999706740311
Monoglobus	52.71826159110809	61.033202049384215	73.0011143664882	48.997664549707096	33.00000143688768	102.95753917068252
Mordavella	0	0	0	0	0	13.064855751231416
Muribaculum	0	0	0	0	0	0
Muricomes	0	0	0	0	0	0
Murimonas	0	0	0	0	0	0
Mycobacterium	0	0	0	0	0	0
Mycolicibacterium	0	0	0	0	0	0
Mycoplasma	0	0	0	0	0	0
Negativibacillus	58.00088164571531	50.6111384517779	57.08775834558348	32.42553818407197	31.98773198419753	88.96902295524058
Neglecta	43.53520035870986	45.219404161656016	49.63505260587501	37.957545613185054	21.285040572141146	74.5992960557242
Neptuniibacter	0	0	0	0	0	0
Odoribacter	26.08590158497101	22.02430354373594	39.707995995813626	15.0000000039118	12.83271646566542	43.62415229977962
Olsenella	22	16.999520181009114	32.00004246838043	0	11.954337272614996	24.999999999512777
Oscillibacter	106.21663931835398	101.21276287594532	108.43815724448436	61.11238711101715	25.0744768299166	143.27831568507457
Oxobacter	0	0	0	0	0	0
Paeniclostridium	68.47115004399132	85.38483149506128	104.08786622846505	96.36430417625778	45.68049262581465	182.9497117404956
Paludicola	0	0	0	0	0	0
Pantoea	0	0	0	0	0	0
Papillibacter	0	14.142478368173002	11.570714015337895	0	0	22.513776029604625
Parabacteroides	782.5407780099282	775.4074541775574	1086.2803969612653	389.3679232378006	289.07133385744703	814.775689829707
Paraclostridium	0	0	0	0	0	0
Paraprevotella	100.57844043224424	80.27470499862335	119.05794465569384	65.19322954139739	28.05954231397071	100.0023838759811
Parasutterella	76	61.00000000002179	105.0033821897114	58.00000000014771	42	128.56659690484247
Parvibacter	0	0	0	0	0	0
Pediococcus	18.992120724342904	0	53.97002395599297	24.99999999679418	15.999999812684422	102.00445461416278
Peptacetobacter	0	0	0	0	0	0
Peptoniphilus	0	0	0	0	0	0
Peptostreptococcus	0	0	0	0	0	0
Phascolarctobacterium	58.88813882513319	45.59648478573099	76.00800729921522	50.97025691768402	31	103.403504407164
Phocaeicola	7405.7867770948415	8465.729233917633	10488.349306151942	3680.7084515722127	3188.393823910435	9352.554144860394
Phocea	0	21.51071418685272	13.18406249706753	0	0	20.522860686212287
Plesiomonas	0	0	0	0	0	0
Prauserella	0	0	0	0	0	0
Prevotella	2623.325185409979	2877.240115830052	3542.3760677873647	1386.2544911095672	1199.5713596450394	3565.357163894503
Prevotellamassilia	27.99595425489837	23.855157412088	33.01240759627062	19.00048133878808	11.002979612419727	19.000004339794845
Proteiniclasticum	0	0	0	0	0	0
Providencia	0	0	0	0	0	0
Pseudobutyrivibrio	20.99355577958987	27.669065372184622	39.824265206186624	20.61290409888672	22.54191247110526	58.87509740626594
Pseudoflavonifractor	0	0	12.377397612075642	0	0	28.206026384113144
Raoultibacter	0	14.98408516121318	23.27896151861887	0	0	0
Robinsoniella	22.919757841443417	23.108851871081143	35.61106565791987	21.765510860760937	21.72091622393613	63.711149948053006
Romboutsia	319.9897484402528	400.5788236522789	518.9929697291284	257.74315289247437	164.4165776563851	598.9065792967831
Roseburia	922.8777802320316	1096.056017212729	1274.6844834477422	722.242327103832	416.53622154496	1814.8246999477228
Ruminiclostridium	0	0	0	0	0	0
Ruminococcus	797.7831675304834	737.6898088753534	1004.5821871750624	695.3407435078078	390.4454886563407	2093.4140089194066
Ruthenibacterium	21.680031645835715	22.855551918573703	34.40539937970795	19.57351543179903	0	40.19173467290023
Salmonella	0	0	20.650108196540813	0	0	0
Selenomonas	0	0	0	0	0	0
Senegalimassilia	25	13	15.000039856894183	23	13.999999632953925	43.001177856535335
Serratia	0	0	0	0	0	0
Shigella	0	0	10.36890514244391	0	0	0
Slackia	0	0	0	0	0	0
Soehngenia	0	0	0	0	0	0
Spiroplasma	0	0	0	0	0	0
Sporobacter	14.006193176163084	17.764363505979393	17.784182391637195	0	0	25.33129071022234
Sporobacterium	0	0	0	0	0	0
Staphylococcus	0	0	0	0	0	0
Streptococcus	364.92984832762977	413.8956647274785	518.424240541398	317.2248512996692	164.31519463342846	1085.245710363942
Streptomyces	0	0	0	0	0	0
Subdoligranulum	16.717423054601042	20.676065647503453	17.717672801320152	0	10.475873004076757	20.84379504807554
Sutterella	296.08361914286616	380.0307678073638	490.2003259273549	202.99287837652855	197.45599819053336	512.9092274541191
Syntrophococcus	0	12.493166253938751	12.830031072587914	0	0	0
Terrisporobacter	84.25812548435157	79.67251795073034	100.09021706270394	41.69847586326289	42.94214124728836	144.76320604248824
Thermoclostridium	0	0	0	0	0	0
Tidjanibacter	0	0	0	0	0	0
Tissierella	0	16.952856652327824	13.983970301656749	0	0	15.937842923189155
Turicibacter	0	29.9986593564194	33.00000153512629	0	0	21
Turicimonas	0	0	0	0	0	0
Tyzzerella	19.85860392519601	41.84553890132122	102.06335404466074	31.49904930481691	20.34243625880291	67.98065709155486
Weissella	0	0	0	0	0	0
Youngiibacter	0	0	0	0	0	0
