genus	repBC40_Pl2	repBC41_Pl2	repBC42_Pl2	repBC46_Pl2	repBC47_Pl2	repBC48_Pl2
Acetanaerobacterium	0	0	0	0	0	0
Acetivibrio	10.198277661477734	11.14005768710712	0	0	0	15.911486852771494
Acholeplasma	0	0	0	0	0	0
Acidaminococcus	4404.629341436967	5343.443924764314	1023.9263588412095	3066.4458934747868	1370.8998697905715	3486.0660551534465
Acidimicrobium	0	0	0	0	0	0
Acutalibacter	0	56.33356970982236	0	15.00585530849449	0	0
Adlercreutzia	303.4094488550567	353.0986690279722	121.10842943868896	260.19471055344536	126.23150434505452	359.3470155893057
Agathobacter	0	14.522930250688091	0	0	0	0
Agathobaculum	204.1508040216144	450.3346747892773	44.03775423181787	319.2620873538748	169.88114351130696	551.488556217232
Akkermansia	0	0	0	0	0	0
Alginatibacterium	0	17.038631660072905	0	0	0	0
Alistipes	505.0909479448543	574.1209853747108	116.0000445890986	208.91708807009215	165.64949226044962	514.775914411222
Allisonella	330.04844810427073	485.1725058943842	59.55437393525016	426.8387248867021	211.610069615772	388.9893879378501
Alterileibacterium	0	0	0	0	0	0
Amedibacillus	13.970440068451191	0	0	0	0	19.56930261543399
Aminiphilus	0	62.006515003257526	0	0	0	0
Aminipila	18.753435656141317	46.44192775479245	0	22.382240842121973	0	41.14227461376503
Anaerobutyricum	663.5532858838093	721.4899497320654	97.44796597174928	551.7351452352927	269.10861471309005	584.3974753162676
Anaerocolumna	0	0	0	0	0	0
Anaeromassilibacillus	121.11096252172824	144.0035901760376	33.32254413402267	118.35562888381762	56.5550067571443	143.5991989409781
Anaerosporomusa	0	24.8004354720716	0	0	0	0
Anaerostipes	2610.1283446447987	2624.0786615408565	377.0322872566417	2603.167135826314	1262.7459443256655	2930.802289148031
Anaerotaenia	0	24.37645580740896	0	0	0	0
Anaerotignum	23.07153744337336	17.999681782660588	0	0	0	0
Anaerotruncus	68.13526571238089	84.84677410733052	13.094705641919102	45.64271031508528	31.88171741269621	49.84694343253747
Anaerovorax	10.166396151228248	19.743989504860576	0	16.062523935709372	0	0
Annwoodia	0	0	0	0	0	0
Asaccharobacter	0	38.79651068103228	0	0	0	12.583987979848622
Atlantibacter	0	0	0	0	0	0
Bacillus	0	0	20.316857276939334	0	0	0
Bacteroides	1190.2198676523242	1244.6006755530295	262.2047208746769	803.5752000129345	512.0386825923097	2062.1364169800754
Bariatricus	648.3141697553831	332.359057901931	92.84645196241108	642.1827471977143	307.521332498088	664.3656139845816
Barnesiella	71.00987770206586	61.59910708276378	0	46.00000036315882	27.99999995862594	110.52778932991352
Beduini	0	0	0	0	0	0
Bifidobacterium	71.20003687086465	112.28994070136972	39.64437155098406	39.00249113170428	0	471.4154373559552
Blautia	7167.382148284131	6853.640050952909	1099.958930401291	6974.399672353075	3802.604937814852	8423.171352993813
Breznakia	11.000193493027153	0	0	0	0	10.999999991628403
Butyricicoccus	284.30329187397547	487.2545965009333	54.347062827129136	537.7319746066768	306.21721418971947	446.20948069655697
Butyricimonas	65.00072224860577	50.9866780398072	0	0	0	43.21611544523657
Butyrivibrio	23.930044494770076	28.79724549291525	0	14.048740198724303	0	23.14192529720937
Caldicoprobacter	0	34.67347545781555	0	0	0	0
Caproiciproducens	13.478374741780458	16.17689656436548	0	11.64120617095517	17.242643473149812	16.5283425046151
Casaltella	34.799085669513175	62.94895263395731	0	20.02293251988395	0	94.06400879330766
Catenibacterium	368.7844788942462	229.4737838205196	36.99999999999872	92.0818394850644	64.00438250023598	659.5603332849204
Cellulosilyticum	0	0	0	0	0	0
Christensenella	227.09657163666665	158.95807330036493	20	182.01532137079576	74.20724915820871	262.7563607106053
Citrobacter	0	12.108004295861772	0	0	0	0
Clostridioides	0	0	0	18.28837314044892	14.323096135321215	0
Clostridium	289.7908772155282	180.57666266530168	26.275585483158046	137.73027470561902	76.11003926471027	488.0201989946051
Colibacter	0	0	0	0	0	0
Colidextribacter	142.49233792673343	92.90741387651464	22.17577653774456	164.8007865930155	66.52740408924092	149.12212532531865
Collinsella	454.6760599985976	1953.1466097235868	490.5388456069756	917.9647605015708	377.3295625615381	703.7883790140312
Coprobacter	0	0	0	0	0	0
Coprococcus	4069.547497548149	4753.15550770512	705.4177826733354	3729.3712875117735	1730.64355620302	4829.131585284185
Corynebacterium	0	16.08795490587759	0	0	0	0
Cuneatibacter	0	29.584493535907377	0	24.301130465059288	0	32.71831500343147
Dehalobacter	0	0	0	0	0	0
Desulfitispora	0	22.173035348321356	0	0	0	0
Desulfothermobacter	0	0	0	0	0	0
Desulfovibrio	21.997459611964302	32.999916123789546	12.00000000000042	17.999999999999638	0	188.0092032085794
Dialister	1517.618738869348	2956.5551344572004	298.5970130292007	1462.5434628008372	728.3207404276213	1547.8161002488412
Dielma	12.00654816315962	0	0	0	0	31.576505135984707
Dorea	4003.114488667092	4408.76898962478	517.6127671959014	3166.130864374947	1402.025651353616	3362.3922259312817
Drancourtella	0	0	0	0	0	0
Duncaniella	163.13382821180286	118.27107136645247	31.172616251829385	111.3417767620633	90.77550683524852	311.3603311716071
Duodenibacillus	14.55728365986734	0	0	42.03873412609288	24.307617309751844	92.81135255465756
Dysosmobacter	772.7987602516525	709.4500493774291	125.20761940597788	777.4865682221263	416.570806618567	843.0999699467342
Eggerthella	311.5677529948235	549.7807821594647	100.9418971732094	229.96195181049748	159.00275398439288	422.48171282321897
Eisenbergiella	0	0	0	0	0	0
Emergencia	49.50071562735936	66.42319062693196	0	30.604360657411338	27.069217483407197	34.2835654922484
Enterobacter	52.283164590900235	94.30562958850496	0	0	0	28.30777592651672
Enterocloster	143.1566478772178	161.10039907801058	24.472398477995597	126.10232371262214	49.27575318263558	141.1926968776896
Enterococcus	284.0745539369764	468.82256163525426	87.4983098934858	347.8308088923835	233.95197281249023	369.4159618558504
Enterorhabdus	20.328439973477803	83.62517350104888	12.003305445064347	20.82057991736098	18.011808138784396	38.30486096956557
Erysipelatoclostridium	51.26218672140857	0	0	0	0	102.21491720691164
Escherichia	8512.350262374393	7271.901601503071	1547.5290434335602	1150.7491001426515	1131.9942861994743	5012.868944990364
Eubacterium	978.1601512490536	1040.9801280273168	127.50375409885952	532.7357608996773	266.5828254398338	752.0521221797999
Faecalibacterium	3369.609298358983	3427.43173816992	477.19506881992544	2934.122731217544	1064.6237866527931	3444.591597146793
Faecalibaculum	0	0	0	0	0	13.742975939849329
Faecalicatena	2926.184842267515	2463.451406993757	432.53358795480995	2820.901116668084	1347.573145935766	2735.398725833077
Faecalimonas	1274.474227599724	447.4322075224088	186.5472188363858	1318.8367408500826	607.0203048872404	1181.5174502438356
Faecalitalea	45.19909122831594	0	0	0	0	119.30375340618812
Falcatimonas	14.550508816471812	20.844485446064123	0	16.258644021042745	0	13.439780852557735
Fastidiosipila	0	0	0	0	0	0
Flavonifractor	469.0454643720995	594.0092134193	60.031087211557846	485.46573641482553	218.36467380442684	451.8591338988677
Flintibacter	1054.7848841448815	1020.0500671163508	118.27150995839268	939.5624916711034	387.2906373431437	774.3854856112579
Fournierella	24.51985814161058	14.0416208021121	0	25.50459056957759	0	25.52446540387361
Frisingicoccus	0	40.66161881594893	0	13.279788161516851	0	16.886596495873675
Fusibacter	0	17.752813644582314	0	0	0	0
Fusicatenibacter	648.5240432266614	739.6521253271048	96.21634551451572	555.5181052959645	250.51515542148712	673.6415275899715
Gemmiger	519.4285425936855	461.7294625715828	85.38826091340079	442.54398447709673	269.87695561625435	567.0519814165054
Geosporobacter	0	15.026472296559833	0	0	0	0
Gordonibacter	127.70003552817482	155.67876555162664	35.36590734504604	91.63380760073912	57.97140912570121	164.23491691990483
Gottschalkia	0	0	0	0	0	0
Haemophilus	0	0	0	0	0	0
Harryflintia	0	15.869986778150505	0	0	0	0
Herbinix	0	13.790589085962509	0	0	0	0
Hespellia	154.9058498478339	300.0985905104368	22.21749858729069	126.21174130742652	38.545384327603365	548.5720643990653
Holdemanella	808.4137476728744	340.2763862483774	64.99999999999997	141.5727915647437	182.89287818896145	1429.7159109098416
Holdemania	32.999889619578965	39.018951459490694	0	0	0	109.08681669999196
Hungateiclostridium	57.8661375161324	71.81779201944781	0	47.11352193277983	27.000055888312307	73.5572018135738
Hungatella	209.3791073330121	121.42230215107426	43.729179282629694	262.2864934086185	121.75177008430884	319.80409439180727
Hydrogenoanaerobacterium	15.487002057250578	48.03271803242054	0	15.521270588344636	11.152425757690208	18.203274187421577
Ichthyobacterium	0	0	0	0	0	0
Ihubacter	64.91587730758472	89.02469477952629	0	54.50544656597739	31.612176643251825	61.65828214435778
Intestinibacillus	15.2366146142364	35.87188934256217	0	14.210591239567064	0	65.69824818790619
Intestinibacter	50.257613000846455	72.63490858507683	0	50.95714464549767	22.416964585669007	53.758737943561215
Intestinimonas	128.12091647148182	105.39573906755672	22.01667724578942	95.63859132011967	52.8069359665601	140.4298043542415
Klebsiella	0	0	0	0	0	20.42719792790168
Knoellia	0	0	0	0	0	0
Kytococcus	0	0	0	0	0	0
Laceyella	68.02752616206877	33.08410787282439	0	33.999999998221945	12.999999999999243	86.1242928306888
Lachnoclostridium	233.64723566720164	236.8989006962211	24.894838859498908	236.13212187646897	121.9351129491614	384.8503789920726
Lachnospira	109.05984692881697	182.52305719387135	33.185240349356015	135.55571313334363	70.23095394622459	163.66709400483794
Lacrimispora	234.66027982414204	285.7062219258638	22.93661180187277	249.8380135127672	117.05914722095454	330.3982996985728
Lactiplantibacillus	0	0	0	0	0	0
Lactobacillus	20.24311665516691	57.58172117880909	0	28.64963880891473	0	36.9143031535641
Lactococcus	0	0	0	0	0	0
Lactonifactor	0	11.3499043131883	0	10.660313152333712	0	0
Lelliottia	0	0	0	0	0	0
Libanicoccus	0	0	0	0	0	0
Longibaculum	231.23499990271011	261.4925468170528	42.333870203210935	36.7659313369786	47.00453079239835	433.0437230463436
Mageeibacillus	0	0	0	0	0	0
Massilimicrobiota	13.479318226185663	0	0	0	0	45.10766290259775
Massiliprevotella	0	0	0	0	0	0
Massilistercora	46.92360642600836	26.704171818214327	0	42.401332360782746	33.03043041258948	51.56820314711927
Mediterraneibacter	3750.863885998954	3026.7513871967676	555.6406418426166	3008.5614381125547	1364.1464601690116	3281.341845348599
Megamonas	45.00000102868746	127.92730990775632	0	31.99966662596311	0	42.03911690957759
Megasphaera	40.13652522398907	59.12821878003361	0	16.999769238341393	0	22.01269570098422
Metakosakonia	0	0	0	0	0	0
Mitsuokella	0	15.99629608192613	0	0	0	0
Mogibacterium	929.6999454762654	1639.6160071685251	188.94128781076537	629.8293560793674	404.433641150619	875.9115759859316
Monoglobus	30.19814226634901	47.59994634502908	0	34.025102013379225	20.59021680284931	32.969865807042225
Mordavella	30.29079338371012	19.61369160873908	0	35.724259159538015	0	46.58979842218272
Muribaculum	15.645204417698965	0	0	0	0	21.95974379783284
Muricomes	0	11.01763375227469	0	0	0	0
Murimonas	0	14.988696416817705	0	0	0	0
Mycobacterium	0	0	0	0	0	0
Mycolicibacterium	0	0	0	0	0	0
Mycoplasma	0	0	0	0	0	0
Negativibacillus	104.6065026642364	55.75785192363975	0	742.3838094303704	398.9488682308055	972.7843125311094
Neglecta	44.89479554706599	43.602531603296576	0	35.144722506107286	25.17213584194856	33.40485477509408
Neptuniibacter	0	0	0	0	0	0
Odoribacter	48.01041398375026	51.87424568334882	0	30	13.467524684822244	62.03757311673044
Olsenella	13.001933196784153	33.02356640327031	0	0	0	13.07804913668073
Oscillibacter	950.981489175722	1183.9001352422524	153.82078865149904	832.0151184188092	423.1640204175659	854.0591915593888
Oxobacter	0	0	0	0	0	0
Paeniclostridium	65.94966531097901	42.478461840840616	0	1761.0547500796365	876.7948899072173	1507.771618929629
Paludicola	0	0	0	0	0	0
Pantoea	0	0	0	0	0	0
Papillibacter	30.096351620046654	30.07299127248057	0	29.68721627571299	12.620147863960264	31.027841094874745
Parabacteroides	3821.722519114824	2815.2217368574316	552.9445101938921	1269.846308586432	897.9028739368857	3814.081190807667
Paraclostridium	0	0	0	0	0	15.534046543855805
Paraprevotella	14.030450623666946	22.188279333984152	0	10	0	29.971588613627137
Parasutterella	1426.5693590257497	2813.325994560959	454.1219284104056	653.4088791322665	413.0912138627341	1068.8081684659262
Parvibacter	11.552978036627287	0	0	0	0	22.12990697697351
Pediococcus	0	35.9061976924607	13.999999999999991	25.000000120965325	0	70.54955446259856
Peptacetobacter	0	15.036456375267878	0	11.5053621981082	0	0
Peptoniphilus	0	0	0	0	0	14.00000020166584
Peptostreptococcus	75.93730380999283	93.93523087542728	12.000000000000194	108.32354798018672	64.45063010751232	204.52796928868293
Phascolarctobacterium	314.2266315983272	326.052886099556	42.59816528972807	302.09275666011155	174.21476689076357	414.8534383692931
Phocaeicola	7274.3766422445005	4480.758597757105	980.1554736094508	3994.7497011718783	2850.9926349093253	12673.708190404155
Phocea	273.4971284312751	272.23728886316945	29.00651319844766	178.93165619965183	109.99806041788008	207.8372028506101
Plesiomonas	0	0	0	0	0	0
Prauserella	0	0	0	0	0	0
Prevotella	126.4212508174528	134.1682345061086	48.0051387140984	91.97411666534508	54.99913588052463	321.57809798798166
Prevotellamassilia	0	0	0	0	0	0
Proteiniclasticum	0	18.32008715194771	0	0	0	0
Providencia	0	0	0	0	0	0
Pseudobutyrivibrio	0	19.324748384910773	0	0	0	14.326454601400323
Pseudoflavonifractor	107.45521169090556	127.64514892326412	0	100.33259951969508	41.37357470458621	121.3396658376777
Raoultibacter	0	0	0	0	0	19.93217610459805
Robinsoniella	30.22985701647696	23.265863829577768	0	20.65227271008052	10.651771634924312	33.890993301941094
Romboutsia	211.15895050985543	247.18167969972595	30.00230291977945	195.3301619423835	127.5137947683387	218.33571309757892
Roseburia	607.6638836493106	701.937592271207	123.82574463200396	438.46300972825145	229.1341715559473	520.1584683561489
Ruminiclostridium	0	19.26054553419044	0	0	0	0
Ruminococcus	910.9508953559616	1890.491265744486	293.69538075213546	932.431367181356	590.0397713475576	1270.696417546585
Ruthenibacterium	52.54751181340029	73.0103026920244	11.180056969717818	41.30657542033355	24.227613325006388	69.31636729591078
Salmonella	202.46641963013343	251.87650105677912	57.34385592875111	38.39065641197929	30.761136577088	266.70121100353293
Selenomonas	0	0	0	0	0	0
Senegalimassilia	49.03953562144324	121.22022697165714	26.26961172745821	128.00441011779102	60.99999999999998	135.31566437683793
Serratia	0	0	0	0	0	0
Shigella	300.774820454917	474.56402277179143	40.153735636370214	36.153546418497704	43.61979083462629	202.883257155515
Slackia	93.44374413243112	295.2046129667614	74.31653955958711	98.98474079056062	39.00002001172634	92.60320664344836
Soehngenia	0	0	0	0	0	0
Spiroplasma	20	0	0	0	0	0
Sporobacter	69.97454189119082	88.16432619309228	16.00010956838054	70.26990355614659	24.2754455044329	50.3253125963622
Sporobacterium	12.360518935768866	0	0	15.21126436048602	0	0
Staphylococcus	0	0	0	0	0	0
Streptococcus	470.9840948330197	707.7353786178604	85.2912167265069	455.9895102848732	290.38106439784946	467.1888001712607
Streptomyces	0	72.78507020860283	0	0	0	0
Subdoligranulum	17.160765314371645	112.43925972365516	0	11.548072020313102	0	12.577201449538109
Sutterella	5857.169806805704	4342.60766860401	1073.0886086168252	3429.389844372014	2039.9710235930395	8152.212556149014
Syntrophococcus	0	22.68302805687321	0	0	0	0
Terrisporobacter	52.70043559962271	17.519869738362097	0	40.35394210998268	18.68466009739197	32.39599896489669
Thermoclostridium	0	0	0	0	0	0
Tidjanibacter	0	0	0	0	0	0
Tissierella	0	0	0	0	0	0
Turicibacter	0	14.000000000000002	0	0	0	15.000332324276773
Turicimonas	0	14.631133195684264	0	0	0	13.18823983451042
Tyzzerella	124.23503360072208	164.37427049474405	10.665335017135767	52.328069640584594	23.30518266519902	263.3364492607312
Weissella	0	0	0	0	0	0
Youngiibacter	0	0	0	0	0	0
