genus	repBC64_Pl1	repBC65_Pl1	repBC66_Pl1	repBC70_Pl1	repBC71_Pl1	repBC72_Pl1
Acetanaerobacterium	0	0	0	0	0	0
Acetivibrio	0	0	0	0	0	0
Acholeplasma	0	0	0	0	0	0
Acidaminococcus	3609.2413811464544	1804.2402980143304	1387.899975209271	2018.2385058176492	2099.2763189634093	2684.7464490527755
Acidimicrobium	0	0	0	0	0	0
Acutalibacter	0	0	0	0	0	0
Adlercreutzia	0	0	0	0	0	13.660362558629387
Agathobacter	0	0	0	0	0	0
Agathobaculum	12.69783344315198	0	17.94057912486796	0	0	0
Akkermansia	0	0	0	0	0	0
Alginatibacterium	0	0	0	0	0	0
Alistipes	51.00015340211238	28.000000000000348	10	37.08790503892243	41	104
Allisonella	1222.0485412004784	577.8376265425724	531.0079216581258	1005.7011065693222	939.1312584990334	1195.5093347284824
Alterileibacterium	0	0	0	0	0	0
Amedibacillus	0	0	0	0	0	0
Aminiphilus	0	0	0	0	0	0
Aminipila	0	0	0	0	0	0
Anaerobutyricum	18.060214326182432	0	126.59947031646998	0	0	0
Anaerocolumna	0	0	0	0	0	0
Anaeromassilibacillus	0	0	0	0	0	0
Anaerosporomusa	0	0	0	0	0	0
Anaerostipes	284.79716439707363	0	27.6750681425925	0	16.898370405971015	0
Anaerotaenia	0	0	0	0	0	0
Anaerotignum	0	0	12.904839733507927	0	0	0
Anaerotruncus	0	0	0	0	0	0
Anaerovorax	0	0	0	0	0	0
Annwoodia	0	0	0	0	0	0
Asaccharobacter	0	0	0	0	0	0
Atlantibacter	0	0	0	0	0	0
Bacillus	0	0	0	0	0	0
Bacteroides	106.16752284164544	85.01671041089708	0	47.00582003734927	56.00002066891892	199.91301271026597
Bariatricus	21.393845723852536	0	29.542352463121677	0	0	0
Barnesiella	12.000000063187851	0	0	0	14.000000009089945	27.99210078802747
Beduini	0	0	0	0	0	0
Bifidobacterium	701.8861775326717	394.7715037787255	3448.967325707494	758.5327374452988	15206.607002237051	923.928937851726
Blautia	146.6059660703705	52.72573890143033	403.03126325190766	46	57.75545385694067	86.0274625331233
Breznakia	0	0	0	0	0	0
Butyricicoccus	15.302166557710205	0	23.058067690619843	0	0	0
Butyricimonas	0	0	0	0	0	0
Butyrivibrio	0	0	0	0	0	0
Caldicoprobacter	0	0	0	0	0	0
Caproiciproducens	0	0	0	0	0	0
Casaltella	0	0	35.00574027256012	0	0	0
Catenibacterium	0	12.999999999884444	19.0888163241988	0	22.99999999999999	25.945579282649888
Cellulosilyticum	0	0	0	0	0	0
Christensenella	16	20.00000008114145	11	15.999999998710246	14.000002477011815	26.999999992606483
Citrobacter	0	0	0	0	0	0
Clostridioides	0	0	0	0	0	0
Clostridium	55.46309087122946	0	0	25	40.18601324753742	25.000044460344
Colibacter	0	0	0	0	0	0
Colidextribacter	0	0	0	0	0	0
Collinsella	258.0450467741808	118.74476629499034	71.5210787161798	185.1875334529907	263.35664315577174	369.8361159249093
Coprobacter	0	0	0	0	0	0
Coprococcus	0	0	59.85110389466738	0	0	0
Corynebacterium	0	0	0	0	0	0
Cuneatibacter	0	0	0	0	0	0
Dehalobacter	0	0	0	0	49.80503430878833	0
Desulfitispora	0	0	0	0	0	0
Desulfothermobacter	0	0	0	0	0	0
Desulfovibrio	0	0	0	0	0	0
Dialister	1498.8894316530825	675.118139899171	682.499440385096	1254.04111827978	1152.45607117581	1405.990265472476
Dielma	0	0	0	0	0	0
Dorea	1283.2130887136389	16.70801886997276	2539.3140991309406	0	0	21.0000401691307
Drancourtella	0	0	0	0	0	0
Duncaniella	0	0	43.70360583360122	0	0	0
Duodenibacillus	0	0	0	0	0	0
Dysosmobacter	0	0	0	0	0	0
Eggerthella	30.99874573670001	0	0	0	0	14.40600210264283
Eisenbergiella	0	0	0	0	0	0
Emergencia	0	0	0	0	0	0
Enterobacter	0	0	0	0	0	0
Enterocloster	0	0	16.53120195493612	0	0	0
Enterococcus	136.15928960195004	70.30943292354208	75.0463848241947	124.5287294916875	292.42329007889884	143.43938042292854
Enterorhabdus	0	0	0	0	0	0
Erysipelatoclostridium	0	0	0	0	0	0
Escherichia	36.82446443543613	20	17	29	33	29.00000000000001
Eubacterium	47.99999999999136	31.00002390643536	0	66.000000000001	52.286954911622885	76.01013855970194
Faecalibacterium	206.727833814258	78.80937870371751	91.57695098484308	111.89351242375504	103.0265777090191	151.0590555188802
Faecalibaculum	0	0	0	0	0	0
Faecalicatena	139.3472481389451	0	255.78490290202896	0	0	0
Faecalimonas	34.784714618509106	0	126.82376791475536	0	0	0
Faecalitalea	0	0	0	0	0	0
Falcatimonas	0	0	0	0	0	0
Fastidiosipila	0	0	0	0	0	0
Flavonifractor	0	0	0	0	0	0
Flintibacter	0	0	0	0	0	0
Fournierella	0	0	0	0	0	0
Frisingicoccus	0	0	0	0	0	0
Fusibacter	0	0	0	0	0	0
Fusicatenibacter	71.89426525219726	33.000209417608474	18.000260491086447	38.00880909676435	37.005146060474445	54.99999994353127
Gemmiger	84.0001201333059	38.19044619552156	35.258320332719	68.00294872084679	57.00146574724033	69.87893194193416
Geosporobacter	0	0	0	0	0	0
Gordonibacter	0	0	0	0	0	0
Gottschalkia	0	0	0	0	0	0
Haemophilus	0	0	0	0	0	0
Harryflintia	0	0	0	0	0	0
Herbinix	0	0	0	0	0	0
Hespellia	61.13331131821662	0	43.21745926338888	0	0	0
Holdemanella	0	0	315.91120277749854	0	0	0
Holdemania	0	0	0	0	0	0
Hungateiclostridium	0	0	0	0	0	0
Hungatella	0	0	39.758465728447774	0	0	0
Hydrogenoanaerobacterium	0	0	0	0	0	0
Ichthyobacterium	0	0	0	0	0	0
Ihubacter	0	0	0	0	0	0
Intestinibacillus	0	0	0	0	0	0
Intestinibacter	39.08540799501866	23.33383467866945	26.27345122671797	45.930500937294006	24.411599037625823	59.01533369268639
Intestinimonas	0	0	0	0	0	0
Klebsiella	0	0	0	0	0	0
Knoellia	0	0	0	0	31.976388662490017	0
Kytococcus	0	0	0	0	0	0
Laceyella	23	0	24.001577471483703	16.019160857970864	21.002565030721065	19.992797872454982
Lachnoclostridium	0	0	12.991377854010162	0	0	0
Lachnospira	37.6134132434903	26.000170400155987	16.324179859863616	24.00000000000001	50.99008572752753	38.60182947711382
Lacrimispora	0	0	15.160719612786924	0	0	0
Lactiplantibacillus	0	0	0	0	0	0
Lactobacillus	2857.149094940091	1340.7106861691684	932.6628476238112	2872.04450582396	2399.775163853182	3451.311754829965
Lactococcus	0	0	0	0	0	0
Lactonifactor	0	0	0	0	0	0
Lelliottia	0	0	0	0	0	0
Libanicoccus	0	0	0	0	0	0
Longibaculum	0	0	0	0	0	0
Mageeibacillus	0	0	0	0	0	0
Massilimicrobiota	0	0	0	0	0	0
Massiliprevotella	0	0	0	0	0	0
Massilistercora	0	0	0	0	0	0
Mediterraneibacter	86.77025441645044	0	163.3581266856827	0	0	0
Megamonas	681.1359503955903	355.2774648766831	299.98973266321036	626.9877656274531	558.6200570492567	791.1784731373125
Megasphaera	32443.240318671466	16269.836321202183	15303.556287717996	25695.028663813868	29611.726967015005	32624.455208603504
Metakosakonia	0	0	0	0	0	0
Mitsuokella	140.42848368462603	90.27251025620566	81.13231102243333	79.99919073208834	107.4984816770761	108.98242841749688
Mogibacterium	158.02279559950574	43.030833504704106	1949.5562279190751	0	0	0
Monoglobus	0	0	0	0	0	0
Mordavella	0	0	18.71533806430203	0	0	0
Muribaculum	0	0	0	0	0	0
Muricomes	0	0	0	0	0	0
Murimonas	0	0	0	0	0	0
Mycobacterium	0	0	0	0	0	0
Mycolicibacterium	0	0	0	0	0	0
Mycoplasma	0	0	0	0	0	0
Negativibacillus	0	0	0	0	0	0
Neglecta	0	0	0	0	0	0
Neptuniibacter	0	0	0	0	0	0
Odoribacter	0	0	0	0	0	0
Olsenella	1461.434532947792	995.64290135218	407.9247380690161	1246.8331180387254	1320.1734290581176	2708.0689906354955
Oscillibacter	22.310011639339315	0	0	0	0	13.0000000000011
Oxobacter	0	0	0	0	0	0
Paeniclostridium	0	0	0	0	0	0
Paludicola	0	0	0	0	0	0
Pantoea	0	0	0	0	0	0
Papillibacter	0	0	0	0	0	0
Parabacteroides	107.94859779415668	64.99999999581817	26.000000001634113	54.50243252324225	71.29090093058178	173.0365606420185
Paraclostridium	0	0	0	0	0	0
Paraprevotella	0	0	0	0	0	10.999567404523642
Parasutterella	19.99999999973113	13.010351742768831	0	14.000000000000002	17	57.99999999999999
Parvibacter	0	0	0	0	0	0
Pediococcus	5882.353887482154	1658.3015196098172	3825.129193952531	5221.924002409173	10053.76784573507	5167.374819457697
Peptacetobacter	0	0	0	0	0	0
Peptoniphilus	0	0	0	0	0	0
Peptostreptococcus	0	0	0	0	0	0
Phascolarctobacterium	0	0	0	0	0	16.003843000050015
Phocaeicola	499.1396485480586	261.3016256315851	52.00597414432856	191.99429492494136	183.7086177126016	650.0602886672381
Phocea	0	0	0	0	0	0
Plesiomonas	0	0	0	0	0	0
Prauserella	21.730738773744573	0	0	0	0	0
Prevotella	553.7597537091357	85.70051434093554	1527.8588203771565	60.999999993975536	57.99999999944115	127.0016268170628
Prevotellamassilia	0	0	0	0	0	0
Proteiniclasticum	0	0	0	0	0	0
Providencia	0	0	0	0	0	0
Pseudobutyrivibrio	0	0	0	0	0	0
Pseudoflavonifractor	0	0	0	0	0	0
Raoultibacter	0	0	0	0	0	0
Robinsoniella	0	0	0	0	0	0
Romboutsia	348.21829374086514	236.97707272357957	163.10363370039113	322.8346695474262	299.0410868516895	495.4362174150866
Roseburia	0	0	0	0	0	0
Ruminiclostridium	0	0	0	0	0	0
Ruminococcus	0	0	0	0	0	0
Ruthenibacterium	0	0	0	0	0	0
Salmonella	0	0	0	0	0	0
Selenomonas	0	0	0	0	0	0
Senegalimassilia	47.00000013078757	23	12	18.97078339715079	19	57.82564672473652
Serratia	0	0	0	0	0	0
Shigella	0	0	0	0	0	0
Slackia	0	0	0	0	0	0
Soehngenia	0	0	0	0	0	0
Spiroplasma	0	0	0	0	0	0
Sporobacter	0	0	0	0	0	0
Sporobacterium	0	0	0	0	0	0
Staphylococcus	0	0	0	0	0	0
Streptococcus	312.2879113389868	153.89552623676974	118.4345092831332	235.54737953840436	286.0746539831896	286.8647099009173
Streptomyces	45.98804687597153	0	0	0	0	0
Subdoligranulum	0	0	0	0	0	0
Sutterella	102.00007750478518	132.6349153893965	36	136.00000009936534	154.52339657355083	362.409160611987
Syntrophococcus	0	0	0	0	0	0
Terrisporobacter	57.67996663032906	23.59209891222054	15.81407423609738	35.15480536209427	23.4106620384972	44.47293665194494
Thermoclostridium	0	0	0	0	0	0
Tidjanibacter	0	0	0	0	0	11.999978096439124
Tissierella	0	0	0	0	0	0
Turicibacter	0	0	0	0	0	29
Turicimonas	0	0	0	0	0	0
Tyzzerella	12.800849674124168	0	0	0	0	0
Weissella	0	0	0	0	20.785588244540552	0
Youngiibacter	0	0	0	0	0	0
