genus	repBC37_Pl3	repBC38_Pl3	repBC39_Pl3	repBC43_Pl3	repBC44_Pl3	repBC45_Pl3
Acetanaerobacterium	0	0	0	0	0	0
Acetivibrio	0	0	0	0	0	0
Acholeplasma	0	0	0	0	0	0
Acidaminococcus	233.4463500931443	144.97023103847016	307.03013260835576	84.99999675779512	102.0000672857058	115.6183967066646
Acidimicrobium	0	0	0	0	0	0
Acutalibacter	0	0	0	0	0	0
Adlercreutzia	0	0	18.02351620810306	0	0	0
Agathobacter	0	0	0	0	0	0
Agathobaculum	29.17305270575438	78.86449945680906	36.52332053983287	28.97015453837817	40.07372257298641	40.65440715167159
Akkermansia	0	0	0	0	0	0
Alginatibacterium	0	0	0	0	0	0
Alistipes	21.999976090581388	26.000000000002316	96.65781898718286	21.000000000000004	46.01014538102278	34.396053666961336
Allisonella	93.93363906523764	24.000005376344475	42.12615760678102	14.015169008455167	36.000001299906415	84.72217351586504
Alterileibacterium	0	0	0	0	0	0
Amedibacillus	0	0	0	0	0	0
Aminiphilus	0	0	0	0	0	0
Aminipila	14.78997897753814	16.11313155275302	28.451236457954273	0	0	14.65676704328311
Anaerobutyricum	297.1796092125797	266.4883964908366	475.7111991557855	278.6477779875228	305.29876103372885	351.886408737659
Anaerocolumna	0	0	0	0	0	0
Anaeromassilibacillus	52.92912046394996	41.46802343212511	51.142707753924974	27.002553793552625	42.036241877185816	60.08999394936512
Anaerosporomusa	0	0	0	0	0	0
Anaerostipes	1161.396857297568	810.8597964606113	1430.646948738064	964.9829700806704	935.1664012347	1210.6266155684943
Anaerotaenia	0	0	0	0	0	0
Anaerotignum	387.3770624717115	237.2448059083777	511.647548163191	306.96578637399426	371.1346684206545	285.3683698132333
Anaerotruncus	46.000666470077256	28.8935135033945	62.17885985410006	31.497469403052072	41.95585096034287	38.821461530419086
Anaerovorax	0	0	0	0	0	0
Annwoodia	0	0	0	0	0	0
Asaccharobacter	0	0	0	0	0	0
Atlantibacter	0	0	0	0	0	0
Bacillus	0	0	0	0	0	0
Bacteroides	493.2665172714735	330.5111081754953	867.8591194574725	348.20496453663856	444.2340795132494	358.502165896016
Bariatricus	438.8192882841377	284.7458276085312	524.2633624614972	205.2935095774505	267.4429328913632	338.0117382879398
Barnesiella	20.999976938748027	17.0000035825137	33.890694881932944	14.000000002217773	19.2777921944399	12.999998629643564
Beduini	0	0	0	0	0	0
Bifidobacterium	21.001437489210275	140.41951506618113	4755.972170033516	118.74178957312942	22.000479717667016	0
Blautia	3501.2843152594346	2782.528720253636	5408.1176180428565	2110.959758768879	2768.1729849184167	3384.683395893866
Breznakia	0	0	0	0	0	0
Butyricicoccus	90.9966725885591	81.56646390770521	97.0217696489542	63.90456872156435	92.09079901995436	102.85912595915948
Butyricimonas	0	0	0	0	0	0
Butyrivibrio	0	0	0	0	0	0
Caldicoprobacter	0	0	0	0	0	0
Caproiciproducens	0	0	0	0	0	0
Casaltella	0	0	0	0	0	0
Catenibacterium	44.991498475135664	140.33455377522753	242.81046038581923	292.9753310741957	228.00495164916552	148.998962299679
Cellulosilyticum	0	0	0	0	0	0
Christensenella	57.99990104000127	54.00000504938191	85.42162436180932	36.99999995135337	41.68812594937268	46.0000000011262
Citrobacter	0	0	0	0	0	0
Clostridioides	0	0	17.287191283509824	0	0	0
Clostridium	11.960570921191778	17.222745697652453	73.47885204456111	0	0	0
Colibacter	0	0	0	0	0	0
Colidextribacter	71.56619987110449	59.09191675882711	86.64649308859278	39.44381786843236	47.96699915230544	70.09430982935027
Collinsella	895.5633510093551	612.9740548378072	1755.213779794766	724.4204763403599	862.2422915239601	651.7762924044757
Coprobacter	0	0	0	0	0	0
Coprococcus	3364.742198754385	2341.811903236792	4172.253350121294	1934.9487204162988	2598.9031962345844	2733.544367748945
Corynebacterium	0	0	0	0	0	0
Cuneatibacter	0	0	0	0	0	0
Dehalobacter	0	0	0	0	0	0
Desulfitispora	0	0	0	0	0	0
Desulfothermobacter	0	0	0	0	0	0
Desulfovibrio	17	35.99999425777823	354.9918153601104	40.99918145436014	0	0
Dialister	623.5613099484492	415.6961658170696	815.1856722356958	289.8766879792166	328.5027382208944	470.3436143971912
Dielma	0	0	0	0	0	0
Dorea	2610.3532338620275	1875.2974955887876	3645.545974879749	1803.8301322843804	2361.4609291290126	2334.2209123232433
Drancourtella	0	0	0	0	0	0
Duncaniella	245.21114496894856	231.73034613020744	556.4372078291186	237.02642212527604	248.57164860674675	313.7419408352104
Duodenibacillus	0	29.97081174672823	37.15670570624224	23.874622118201877	36.010111903352474	25.01191882533845
Dysosmobacter	428.40157037608174	256.0105384129218	665.1779315868488	241.33625546807932	342.63915197151294	450.9698322639901
Eggerthella	0	24.99995903225224	30.99699103316805	0	27.99999995333612	15.999999999989276
Eisenbergiella	0	0	0	0	0	0
Emergencia	0	0	0	0	0	0
Enterobacter	0	0	0	0	0	0
Enterocloster	117.82022790436064	58.290588977827774	156.5517770540974	51.02374000899027	81.79306097003501	89.33727909719649
Enterococcus	36.00000183348461	47.54041244165985	64.92790887587442	15	15.0719667339926	24.999930850675533
Enterorhabdus	0	0	14.989622284419688	0	0	0
Erysipelatoclostridium	0	0	0	0	0	0
Escherichia	95.999999999165	552.312127305921	420.439887394112	178.69470183401646	254.0003205421775	123.99999999465464
Eubacterium	218.86076579871337	138.1115371394701	281.91927896587765	90.7524571233024	104.9326660460768	141.9222116933155
Faecalibacterium	1136.4900961185008	1118.9375937478894	1431.1106153062394	929.7618659020914	1355.023579675311	1462.7150337394955
Faecalibaculum	0	0	0	0	0	0
Faecalicatena	2100.4970378239373	1243.599991303387	2546.44933636097	1175.68054598808	1485.1544772614052	1926.3341274841976
Faecalimonas	956.164447092685	571.6016125964497	1212.3029814004326	506.71052333244273	658.2258764907663	860.6415481754857
Faecalitalea	0	12.204756540617726	0	0	0	0
Falcatimonas	22.144217668337884	0	16.191195250191758	0	0	0
Fastidiosipila	0	0	0	0	0	0
Flavonifractor	208.8426855396655	177.0165986595517	292.4152497404705	115.65410602817896	162.5119981749726	184.5347849328332
Flintibacter	712.79623301625	530.5253408243719	1275.8098396420555	443.4217003471902	652.2809674797834	646.0894983378769
Fournierella	14.457192923994544	16.662982539975133	22.91390797283733	0	12.583420594717936	0
Frisingicoccus	0	0	0	0	0	0
Fusibacter	0	0	0	0	0	0
Fusicatenibacter	245.77195606402432	229.27464920386805	410.19841148163977	201.6911613582291	264.80009976430006	313.45065784960707
Gemmiger	356.7181073099235	269.2982809945402	563.1495089660956	243.75224420008607	305.333784102403	362.8608444710155
Geosporobacter	0	0	0	0	0	0
Gordonibacter	0	0	0	0	0	0
Gottschalkia	0	0	0	0	0	0
Haemophilus	0	0	0	0	0	0
Harryflintia	0	0	0	0	0	0
Herbinix	0	0	0	0	0	0
Hespellia	14.166243791419694	100.50736511377735	91.2869063950826	0	20.50457218439524	14.639225423791279
Holdemanella	80.00000001267368	199.2622964306749	489.9930867899876	155.508316317746	228.9758193004681	154.1394268748612
Holdemania	0	0	17	0	0	0
Hungateiclostridium	19.999999996940737	27.9999991184347	16.98183917603543	0	0	0
Hungatella	330.3832983158137	181.17238817967132	433.6611631057988	204.718727845126	256.8649102053619	317.3803963235049
Hydrogenoanaerobacterium	0	18.633518289804357	0	0	0	0
Ichthyobacterium	0	0	0	0	0	0
Ihubacter	111.05582661675412	71.18801892525082	176.96907934099815	25.000144958420208	46.99999999999987	54.74326111568091
Intestinibacillus	0	0	0	0	0	0
Intestinibacter	208.04501087619803	219.51652587414495	414.4477665150462	112.83273224105749	123.21219214501312	196.83544111120528
Intestinimonas	51.81048372154112	56.82571237740814	53.90530402533778	23.40307946576589	18.646974865045355	21.77837614484133
Klebsiella	0	0	0	0	0	0
Knoellia	0	0	0	0	0	0
Kytococcus	0	0	0	0	0	0
Laceyella	13	0	21.999999999930797	0	12	0
Lachnoclostridium	169.55217828429795	107.38434176118172	236.45515681298343	86.91956789294126	98.967809151868	120.74040858596024
Lachnospira	58.46056495479459	33.204927357702815	63.79533678615066	34.01973179264914	42.113139664892174	37.12050637675125
Lacrimispora	255.69889789967647	202.2074945301916	416.52715782485103	218.59717706901705	201.54764337125437	252.2707773472486
Lactiplantibacillus	0	0	0	0	0	0
Lactobacillus	0	0	11.02734640810552	0	0	0
Lactococcus	0	0	0	0	0	0
Lactonifactor	0	0	0	0	0	0
Lelliottia	0	0	0	0	0	0
Libanicoccus	0	0	0	0	0	0
Longibaculum	0	20.8698302539777	18.516575878700493	18.929348273329	23.289105834538475	16.29440676420219
Mageeibacillus	0	0	0	0	0	0
Massilimicrobiota	0	0	0	0	0	0
Massiliprevotella	0	0	0	0	0	0
Massilistercora	23.05099743215654	17.293626578994	36.78488444896219	0	12.809849046638083	15.09247387806699
Mediterraneibacter	1817.349908349987	1321.461678475018	2611.7348146454633	1314.7283954188133	1431.781004090906	1799.2526608650596
Megamonas	97.37250855959812	102.99726648684933	146.99566968135832	94.99764767594225	112.01452567339992	138.48500219439796
Megasphaera	0	21.999774002678866	49.3838019750213	14.000000000949354	0	12.997990874924264
Metakosakonia	0	0	0	0	0	0
Mitsuokella	0	0	0	0	0	0
Mogibacterium	138.27145717271074	139.87093939041614	267.1130696385591	73.00000003652156	68.09711745074085	99.9363532775964
Monoglobus	12.999285390158937	12.00103027872774	19.99979219820677	0	13	16
Mordavella	18.093453666014167	0	34.27104509075189	13.901611565486911	16.90568285820007	11.740119870261172
Muribaculum	0	26.77021904674117	21.08884651303901	0	0	0
Muricomes	0	0	0	0	0	0
Murimonas	0	0	0	0	0	0
Mycobacterium	0	0	0	0	0	0
Mycolicibacterium	0	0	0	0	0	0
Mycoplasma	0	0	0	0	0	0
Negativibacillus	139.4310326407594	109.40385212398124	219.63111319405883	85.14889021030976	115.3366615602846	118.9834465958594
Neglecta	0	12.506574695877182	0	0	14.926257603950877	0
Neptuniibacter	0	0	0	0	0	0
Odoribacter	0	0	0	0	0	0
Olsenella	0	13.003888693991009	16.012575528644586	16.000000008084605	14.999985021800615	0
Oscillibacter	261.3323639262037	192.42999974307213	393.0362259710999	162.8330717663775	262.25004236626955	273.38686902520925
Oxobacter	0	0	0	0	0	0
Paeniclostridium	148.02971336866773	86.79822197754702	43.68458639851886	58.400126170708894	132.91392560170647	272.64668236187254
Paludicola	0	0	0	0	0	0
Pantoea	0	0	0	0	0	0
Papillibacter	0	0	15.520922897686017	0	0	14.502223204482611
Parabacteroides	197.68155872927065	199.39477365121843	519.4632556293694	155.96808584017097	263.9517532970116	176.778446468138
Paraclostridium	0	0	0	0	0	0
Paraprevotella	0	0	0	0	0	0
Parasutterella	62.99999999940651	56.00000000011034	121.1343475193322	68.0001834051032	101.99998960740102	65
Parvibacter	0	0	0	0	0	0
Pediococcus	0	0	21.848730559756508	0	0	0
Peptacetobacter	0	0	0	0	0	0
Peptoniphilus	0	0	0	0	0	0
Peptostreptococcus	0	15.441050365871194	0	0	0	12.02686499253373
Phascolarctobacterium	173.05955028526745	119.9034383896185	164.62253090719386	63.00677082915088	105.20272877653584	105.04251765003556
Phocaeicola	1621.8409453805723	1324.402413346179	3685.6635497281095	1697.5938855835402	2060.973568770533	1473.576433635647
Phocea	66.65723627381556	66.781564429019	112.52397245314404	45.81842317530896	51.369122422916114	65.75809127239577
Plesiomonas	0	0	0	0	0	0
Prauserella	0	0	0	0	0	0
Prevotella	188.82312288883665	142.2594390206021	290.3944141997709	164.0606339293629	258.6591760465586	220.9993608791841
Prevotellamassilia	0	0	12.06123888162236	0	0	0
Proteiniclasticum	0	0	0	0	0	0
Providencia	0	0	0	0	0	0
Pseudobutyrivibrio	0	0	21.579794742921766	0	0	13.90587790375287
Pseudoflavonifractor	32.72564341837698	13.100655883358662	34.37047458797766	16.12078290386221	10.650861285141936	26.79766930888427
Raoultibacter	0	0	0	0	0	0
Robinsoniella	0	0	22.384506551152057	17.856427816904347	11.85919687212383	12.926639360192922
Romboutsia	73.0578458428725	69.3054003941929	118.6273791206363	34.86950082217554	53.6957005308937	84.46058169038191
Roseburia	208.6963697639911	137.91791864527593	291.39780904643027	101.87984085898984	129.27853356719004	163.2862708840631
Ruminiclostridium	0	0	0	0	0	0
Ruminococcus	279.52720935867194	203.17405150580535	374.1911722975444	173.28723583493118	285.05168892633344	320.22371388511885
Ruthenibacterium	19.591503600636813	17.805881612071754	26.37266685353949	0	18.280229786211244	15.491532499385292
Salmonella	0	24.411599089991853	0	0	0	0
Selenomonas	0	0	0	0	0	0
Senegalimassilia	15.95194464623876	11	27.00003619220547	10	12	13.98485585308507
Serratia	0	0	0	0	0	0
Shigella	0	0	0	0	0	0
Slackia	27.08583525262077	12.03883181330596	48.07866505582117	29	20.00012228061613	22.51442499936925
Soehngenia	0	0	0	0	0	0
Spiroplasma	0	0	0	0	0	0
Sporobacter	0	0	12.98822310143941	0	0	0
Sporobacterium	0	0	0	0	0	0
Staphylococcus	0	0	0	0	0	0
Streptococcus	32.61433358706304	42.35109569862034	71.87805677351966	44	26.917118374779545	53.998677829867205
Streptomyces	0	0	0	0	0	0
Subdoligranulum	0	0	0	0	0	0
Sutterella	1078.2411206417064	1065.3760371219366	2054.2382423174627	920.4150929732564	1320.0792217986914	1239.6101390111348
Syntrophococcus	0	0	0	0	0	0
Terrisporobacter	50.5460184075115	24.85437311384392	77.7504781324062	20.29774647303227	23.900713522571813	27.1043947424999
Thermoclostridium	0	0	0	0	0	0
Tidjanibacter	0	0	0	0	0	0
Tissierella	0	0	0	0	0	0
Turicibacter	0	0	0	0	0	0
Turicimonas	0	0	0	0	0	0
Tyzzerella	0	36.83247240841502	0	0	0	0
Weissella	0	0	0	0	0	0
Youngiibacter	0	0	0	0	0	0
